gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
2341-8,1620230667696,1,clickedObj,,tomato,filler,none,target,1,2,fish,filler,none,distractor,2,4,horse,filler,none,distractor,3,3,pig,filler,none,distractor,4,1
2341-8,1620230679134,2,clickedObj,,elephant,filler,none,target,3,2,banana,filler,none,distractor,1,4,guitar,filler,none,distractor,2,3,bowl,filler,none,distractor,4,1
2341-8,1620230689852,3,clickedObj,,butterfly,filler,none,target,1,2,dog,filler,none,distractor,3,1,strawberry,filler,none,distractor,4,4,chick,filler,none,distractor,2,3
2341-8,1620230706015,4,clickedObj,,horse,filler,none,target,2,2,fish,filler,none,distractor,3,1,pig,filler,none,distractor,1,3,tomato,filler,none,distractor,4,4
2341-8,1620230716104,5,clickedObj,,strawberry,filler,none,target,4,3,butterfly,filler,none,distractor,2,4,dog,filler,none,distractor,3,2,chick,filler,none,distractor,1,1
2341-8,1620230732391,6,clickedObj,,ball_small_yellow,overinformativeness,size_sufficient,target,3,3,ball_big_purple,overinformativeness,size_sufficient,distractor,1,2,ball_big_yellow,overinformativeness,size_sufficient,distractor,4,4,ball_big_yellow,overinformativeness,size_sufficient,distractor,2,1
2341-8,1620230749320,7,clickedObj,,table_wood_low,adjective_ordering,none,target,2,2,table_metal_high,adjective_ordering,none,distractor,1,1,table_wood_high,adjective_ordering,none,distractor,4,4,table_metal_low,adjective_ordering,none,distractor,3,3
2341-8,1620230766822,8,clickedObj,,earring_small_round,adjective_ordering,none,target,2,3,earring_big_triangular,adjective_ordering,none,distractor,4,4,earring_big_round,adjective_ordering,none,distractor,3,1,earring_small_triangular,adjective_ordering,none,distractor,1,2
2341-8,1620230787353,9,clickedObj,,shorts_dry_red,adjective_ordering,none,target,2,2,shorts_wet_red,adjective_ordering,none,distractor,4,4,shorts_wet_green,adjective_ordering,none,distractor,1,3,shorts_dry_green,adjective_ordering,none,distractor,3,1
2341-8,1620230797338,10,clickedObj,,shoe_big_yellow,overinformativeness,color_sufficient,target,4,1,shoe_big_pink,overinformativeness,color_sufficient,distractor,1,3,shoe_big_pink,overinformativeness,color_sufficient,distractor,2,4,shoe_small_pink,overinformativeness,color_sufficient,distractor,3,2
2341-8,1620230809665,11,clickedObj,,key_small_silver,overinformativeness,size_sufficient,target,1,4,key_big_silver,overinformativeness,size_sufficient,distractor,3,1,key_big_gold,overinformativeness,size_sufficient,distractor,4,3,key_big_silver,overinformativeness,size_sufficient,distractor,2,2
2341-8,1620230817467,12,clickedObj,,tie_small_red,overinformativeness,color_sufficient,target,2,3,tie_small_blue,overinformativeness,color_sufficient,distractor,1,2,tie_big_blue,overinformativeness,color_sufficient,distractor,4,1,tie_small_blue,overinformativeness,color_sufficient,distractor,3,4
2341-8,1620230832909,13,clickedObj,,bowl,filler,none,target,2,4,elephant,filler,none,distractor,1,3,guitar,filler,none,distractor,4,2,banana,filler,none,distractor,3,1
2341-8,1620230844378,14,clickedObj,,baloon_small_yellow,overinformativeness,size_sufficient,target,1,2,balloon_big_pink,overinformativeness,size_sufficient,distractor,3,3,balloon_big_yellow,overinformativeness,size_sufficient,distractor,2,1,balloon_big_yellow,overinformativeness,size_sufficient,distractor,4,4
2341-8,1620230858036,15,clickedObj,,flower_small_pink,overinformativeness,size_sufficient,target,3,3,flower_big_yellow,overinformativeness,size_sufficient,distractor,4,2,flower_big_pink,overinformativeness,size_sufficient,distractor,2,1,flower_big_pink,overinformativeness,size_sufficient,distractor,1,4
2341-8,1620230870899,16,clickedObj,,guitar,filler,none,target,4,3,bowl,filler,none,distractor,1,4,banana,filler,none,distractor,3,1,elephant,filler,none,distractor,2,2
2341-8,1620230885251,17,clickedObj,,door,filler,none,target,4,2,carrot,filler,none,distractor,1,3,cow,filler,none,distractor,2,4,pitcher,filler,none,distractor,3,1
