gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
0193-e,1620230886627,1,clickedObj,,tomato,filler,none,target,2,2,fish,filler,none,distractor,3,1,horse,filler,none,distractor,4,4,pig,filler,none,distractor,1,3
0193-e,1620230902148,2,clickedObj,,elephant,filler,none,target,2,3,bowl,filler,none,distractor,4,4,guitar,filler,none,distractor,1,1,banana,filler,none,distractor,3,2
0193-e,1620230911429,3,clickedObj,,dog,filler,none,distractor,2,2,chick,filler,none,distractor,1,1,strawberry,filler,none,distractor,4,4,butterfly,filler,none,target,3,3
0193-e,1620230926199,4,clickedObj,,fish,filler,none,distractor,4,2,tomato,filler,none,distractor,1,1,horse,filler,none,target,3,4,pig,filler,none,distractor,2,3
0193-e,1620230937524,5,clickedObj,,dog,filler,none,distractor,1,1,chick,filler,none,distractor,2,3,butterfly,filler,none,distractor,3,4,strawberry,filler,none,target,4,2
0193-e,1620230947542,6,clickedObj,,dress_small_blue,overinformativeness,size_sufficient,target,4,4,dress_big_blue,overinformativeness,size_sufficient,distractor,2,3,dress_big_blue,overinformativeness,size_sufficient,distractor,3,1,dress_big_green,overinformativeness,size_sufficient,distractor,1,2
0193-e,1620230977782,7,clickedObj,,frog_spotted_green,adjective_ordering,none,target,2,3,frog_striped_green,adjective_ordering,none,distractor,1,2,frog_spotted_red,adjective_ordering,none,distractor,3,4,frog_striped_red,adjective_ordering,none,distractor,4,1
0193-e,1620230995521,8,clickedObj,,man2_mustached_hatted,adjective_ordering,none,distractor,1,4,man2_mustached_glassed,adjective_ordering,none,target,4,1,man2_bearded_hatted,adjective_ordering,none,distractor,3,2,man2_bearded_glassed,adjective_ordering,none,distractor,2,3
0193-e,1620231003207,9,clickedObj,,pot_big_green,overinformativeness,color_sufficient,distractor,2,2,pot_small_green,overinformativeness,color_sufficient,distractor,4,1,pot_big_blue,overinformativeness,color_sufficient,target,3,3,pot_big_green,overinformativeness,color_sufficient,distractor,1,4
0193-e,1620231037951,10,clickedObj,,picture_colored_rectangular,adjective_ordering,none,distractor,3,2,picture_bw_square,adjective_ordering,none,distractor,4,1,picture_bw_rectangular,adjective_ordering,none,target,2,4,picture_colored_square,adjective_ordering,none,distractor,1,3
0193-e,1620231053824,11,clickedObj,,bag_big_blue,overinformativeness,size_sufficient,distractor,4,3,bag_big_red,overinformativeness,size_sufficient,distractor,1,1,bag_big_red,overinformativeness,size_sufficient,distractor,3,4,bag_small_red,overinformativeness,size_sufficient,target,2,2
0193-e,1620231068260,12,clickedObj,,flower_big_pink,overinformativeness,size_sufficient,distractor,3,4,flower_small_yellow,overinformativeness,size_sufficient,target,4,3,flower_big_yellow,overinformativeness,size_sufficient,distractor,2,2,flower_big_yellow,overinformativeness,size_sufficient,distractor,1,1
0193-e,1620231081834,13,clickedObj,,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,3,2,tshirt_big_orange,overinformativeness,color_sufficient,target,2,3,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,4,4,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,1,1
