gameid,time,roundNum,sender,contents
4062-8,1618529168740,1,listener,"dvd"
4062-8,1618529171034,2,listener,"ghws"
4062-8,1618529173276,3,listener,"bsfgh"
4062-8,1618529175866,4,listener,"bsgghb"
4062-8,1618529178346,5,listener,"bsgbg"
4062-8,1618529180663,6,listener,"bsrg"
4062-8,1618529185286,7,listener,"bsg"
4062-8,1618529189633,8,listener,"bsgng"
4062-8,1618529192629,9,listener,"bsgrb"
4062-8,1618529196407,10,listener,"frb"
4062-8,1618529200519,11,listener,"vaebf"
4062-8,1618529205148,12,listener,"cvafebqa"
4062-8,1618529209016,13,listener,"va a"
4062-8,1618529213344,14,listener,"av vfabf"
4062-8,1618529216762,15,listener,"v ad bdaq"
4062-8,1618529220002,16,listener,"fvaad"
4062-8,1618529223345,17,listener,"cdsv"
4062-8,1618529226661,18,listener,"cdsv"
4062-8,1618529231815,19,listener,"csdvb"
4062-8,1618529236434,20,listener,"vsdvbws"
4062-8,1618529239178,21,listener,"dsvs"
4062-8,1618529241731,22,listener,"csv"
