gameid,time,roundNum,sender,contents
3827-7,1618956568480,1,speaker,"the tomato"
3827-7,1618956634911,2,speaker,"elephant"
3827-7,1618956641815,3,speaker,"butterfly"
3827-7,1618956646248,4,speaker,"horse"
3827-7,1618956654513,5,speaker,"strawberry"
3827-7,1618956659759,6,speaker,"long pencil"
3827-7,1618956666296,6,listener,"blue or black"
3827-7,1618956674528,6,speaker,"black"
3827-7,1618956684271,6,speaker,"long black pencil"
3827-7,1618956691519,7,speaker,"small green apple"
3827-7,1618956696599,8,speaker,"dog"
3827-7,1618956701543,9,speaker,"guitar"
3827-7,1618956710039,10,speaker,"the small round earring"
3827-7,1618956718064,11,speaker,"fish"
3827-7,1618956726223,12,speaker,"yellow shirt"
3827-7,1618956736143,13,speaker,"smooth red shorts"
3827-7,1618956745424,14,speaker,"black lighter"
3827-7,1618956752247,15,speaker,"bowl"
3827-7,1618956761791,16,speaker,"long black and white"
3827-7,1618956767496,17,speaker,"red tie"
3827-7,1618956776184,18,speaker,"small plastic bottle"
3827-7,1618956786783,20,speaker,"key"
3827-7,1618956787744,20,speaker,"big"
3827-7,1618956795847,21,speaker,"asldf"
3827-7,1618956814880,22,speaker,"blue skirt"
