gameid,time,roundNum,sender,contents
4567-0,1619070701965,1,speaker,"it's a tomato"
4567-0,1619070712329,2,speaker,"elephant"
4567-0,1619070721931,3,speaker,"butterfly"
4567-0,1619070728748,4,speaker,"horse"
4567-0,1619070737612,5,speaker,"strawberry"
4567-0,1619070742815,6,speaker,"pig"
4567-0,1619070768791,7,speaker,"a man with hat on and with beard"
4567-0,1619070784927,8,speaker,"green"
4567-0,1619070788343,8,speaker,"pant"
4567-0,1619070806101,9,speaker,"bald old man with beard"
4567-0,1619070827688,10,speaker,"big purple clock"
4567-0,1619070836391,11,speaker,"white"
4567-0,1619070839074,12,speaker,"lighter"
4567-0,1619070855974,12,speaker,"no picture"
4567-0,1619070868661,12,speaker,"i dont see any picture"
4567-0,1619070871414,12,listener,"BALLON"
4567-0,1619070874251,12,listener,"OHHH"
4567-0,1619070900381,13,speaker,"i only can 3 images"
4567-0,1619070908930,13,speaker,"no yellow balls"
4567-0,1619070926276,14,speaker,"blue skirt"
4567-0,1619070943541,15,speaker,"big triangular earring"
4567-0,1619070956189,16,speaker,"fish"
4567-0,1619070968236,17,speaker,"pink one"
4567-0,1619070984928,18,speaker,"laughing woman not fat"
4567-0,1619071000036,19,speaker,"orange shirt"
4567-0,1619071011284,20,speaker,"blue one"
4567-0,1619071020725,21,speaker,"bowl"
4567-0,1619071032010,22,speaker,"silver"
4567-0,1619071039284,23,speaker,"cow"
4567-0,1619071051796,24,speaker,"big blue chair"
4567-0,1619071060809,25,speaker,"red"
4567-0,1619071068917,26,speaker,"green"
4567-0,1619071085549,27,speaker,"dirtiest one"
4567-0,1619071098284,28,speaker,"purple"
4567-0,1619071113780,29,speaker,"biggest white cat"
4567-0,1619071127933,30,speaker,"biggest purple brush"
4567-0,1619071139009,31,speaker,"banana"
4567-0,1619071150211,32,speaker,"biggest blue"
4567-0,1619071174042,33,speaker,"black and white rectangular biggest one"
4567-0,1619071192630,34,speaker,"smallest yellow flower"
4567-0,1619071208228,35,speaker,"smaller red knife"
4567-0,1619071216578,36,speaker,"green"
4567-0,1619071231384,37,speaker,"closed wooden box"
4567-0,1619071257471,38,speaker,"smiling young lady"
4567-0,1619071268714,39,speaker,"biggest blue"
4567-0,1619071278936,40,speaker,"smallest green"
4567-0,1619071287288,41,speaker,"dog"
4567-0,1619071306964,42,speaker,"tight gripped red nails"
4567-0,1619071324051,45,speaker,"biggest green"
4567-0,1619071334410,46,speaker,"smallest green"
4567-0,1619071341194,47,speaker,"door"
4567-0,1619071356229,49,speaker,"smallest blue"
4567-0,1619071373802,50,speaker,"red striped frog"
4567-0,1619071389714,51,speaker,"straight brown hair"
4567-0,1619071409412,52,speaker,"small blue car"
4567-0,1619071416496,53,speaker,"red"
4567-0,1619071423342,54,speaker,"green"
4567-0,1619071431471,55,speaker,"carrot"
4567-0,1619071451221,56,speaker,"green which is NOT wrinkled"
4567-0,1619071471529,57,speaker,"bigger plastic bottle "
4567-0,1619071487045,58,speaker,"pink"
4567-0,1619071499937,59,speaker,"bigger silver"
4567-0,1619071509028,60,speaker,"chicken"
