gameid,time,roundNum,sender,contents
0272-7,1621358237788,1,speaker,"tomato"
0272-7,1621358245298,1,listener,"tomato"
0272-7,1621358251448,1,listener,"fish"
0272-7,1621358259089,1,listener,"pig"
0272-7,1621358272389,3,speaker,"butterfly"
0272-7,1621358282943,4,speaker,"horse"
0272-7,1621358299663,5,speaker,"staberry"
0272-7,1621358309611,6,speaker,"guiter"
0272-7,1621358338329,7,speaker,"clock"
0272-7,1621358353426,8,speaker,"glass"
0272-7,1621358365115,9,speaker,"button"
0272-7,1621358376391,10,speaker,"shokes"
0272-7,1621358388666,11,speaker,"dress"
0272-7,1621358420569,11,speaker,"causual"
0272-7,1621358440440,12,speaker,"cow"
0272-7,1621358448937,13,speaker,"banana"
0272-7,1621358457945,14,speaker,"tye"
0272-7,1621358478434,15,speaker,"shoe"
0272-7,1621358502380,16,speaker,"locker"
0272-7,1621358525708,17,speaker,"key"
0272-7,1621358544962,18,speaker,"brash"
0272-7,1621358575722,19,speaker,"dog"
0272-7,1621358599791,20,speaker,"touser"
0272-7,1621358612584,21,speaker,"pencil"
0272-7,1621358628315,22,speaker,"t shirt"
0272-7,1621358637937,23,speaker,"pant"
0272-7,1621358653226,24,speaker,"fish"
0272-7,1621358671143,25,speaker,"dress"
0272-7,1621358694293,25,speaker,"small"
0272-7,1621358704967,26,speaker,"big"
0272-7,1621358712346,26,speaker,"apple"
0272-7,1621358740950,27,speaker,"table"
0272-7,1621358757356,27,speaker,"small"
0272-7,1621358765983,28,speaker,"ballon"
0272-7,1621358767920,28,speaker,"small"
0272-7,1621358785525,29,speaker,"ear"
0272-7,1621358812229,29,speaker,"fashion"
0272-7,1621358823724,30,speaker,"sniper"
0272-7,1621358829749,30,speaker,"medium"
0272-7,1621358841524,31,speaker,"hair"
0272-7,1621358861409,31,speaker,"style"
0272-7,1621358895322,32,speaker,"ping"
0272-7,1621358906925,33,speaker,"bottle"
0272-7,1621358912297,33,speaker,"big"
0272-7,1621358923875,34,speaker,"carrot"
0272-7,1621358939551,35,speaker,"cup"
0272-7,1621358953538,36,speaker,"frag"
0272-7,1621358972041,36,speaker,"red"
0272-7,1621359010900,37,speaker,"nail black"
0272-7,1621359042002,38,speaker,"lipstick"
0272-7,1621359048258,38,speaker,"big"
0272-7,1621359066793,39,speaker,"cry"
0272-7,1621359080735,39,speaker,"unhappy"
0272-7,1621359121124,40,speaker,"box"
0272-7,1621359128006,40,speaker,"open"
0272-7,1621359146757,41,speaker,"door"
0272-7,1621359186672,42,speaker,"chair"
0272-7,1621359233888,43,speaker,"next"
0272-7,1621359248425,43,speaker,"umberla"
0272-7,1621359281965,44,speaker,"flower"
0272-7,1621359353952,44,speaker,"big"
0272-7,1621359412118,45,speaker,"lighter"
0272-7,1621359530063,45,speaker,"black"
0272-7,1621359540789,46,speaker,"cat"
0272-7,1621359542964,46,speaker,"big"
0272-7,1621359545977,46,speaker,"white"
0272-7,1621359559272,47,speaker,"spoon"
0272-7,1621359566717,47,speaker,"big"
0272-7,1621359592838,48,speaker,"bearless"
0272-7,1621359602352,48,speaker,"glass"
0272-7,1621359612447,49,speaker,"yellow"
0272-7,1621359615308,49,speaker,"small"
0272-7,1621359637177,49,speaker,"ball"
0272-7,1621359668468,50,speaker,"green"
0272-7,1621359682766,51,speaker,"small"
0272-7,1621359698393,51,speaker,"knife"
0272-7,1621359714906,52,speaker,"green"
0272-7,1621359739033,52,speaker,"elastic metal"
0272-7,1621359744494,53,speaker,"big"
0272-7,1621359746985,53,speaker,"car"
0272-7,1621359753400,54,speaker,"hun"
0272-7,1621359763576,55,speaker,"fat"
0272-7,1621359776345,57,speaker,"frame"
0272-7,1621359782393,58,speaker,"small"
0272-7,1621359788814,58,speaker,"gloves"
0272-7,1621359794034,58,speaker,"big"
0272-7,1621359807132,59,speaker,"red"
0272-7,1621359811311,60,speaker,"small"
0272-7,1621359820624,60,speaker,"berad"
0272-7,1621359827569,60,speaker,"beard"
