gameid,time,roundNum,sender,contents
8178-7,1621384645848,1,speaker,"kırmızı sebze"
8178-7,1621384711913,2,speaker,"büyük hayvan"
8178-7,1621384746454,3,speaker,"1 gün yaşıyor hayvan"
8178-7,1621384782025,4,speaker,"yarışları oluyor hayvan"
8178-7,1621384822821,5,speaker,"kırmızı meyve"
8178-7,1621384856528,6,speaker,"büyük olanı ve gökyüüz renginde"
8178-7,1621384888111,7,speaker,"bugs bunny nin en sevdiği sebze"
8178-7,1621384926200,8,speaker,"küçük gökyüzü renginde kadınların giydiği eşya"
8178-7,1621384954633,9,speaker,"akvaryumda beslenen bir hayvan"
8178-7,1621384988227,10,speaker,"büyük domates renginde eşya"
8178-7,1621385020596,11,speaker,"büyük yaprak renginde meyve"
8178-7,1621385066852,12,speaker,"çenesi kare şeklinde olan ve somurtan"
8178-7,1621385097883,13,speaker,"metal "
8178-7,1621385104485,13,speaker,"üstüde dondurma yenmiş gibi oaln"
8178-7,1621385146525,14,speaker,"siyah çakmak"
8178-7,1621385167851,15,speaker,"yeşil pantolon"
8178-7,1621385188317,16,speaker,"küçük sarı balon"
8178-7,1621385208562,17,speaker,"domuz"
8178-7,1621385233075,18,speaker,"kıvırcık sarışın"
8178-7,1621385254963,19,speaker,"pembe ayakkabı"
8178-7,1621385279886,20,speaker,"somurtan yaşlı teyze"
8178-7,1621385311738,21,speaker,"sarı tişört"
8178-7,1621385332787,22,speaker,"küçük siyah kedi "
8178-7,1621385352939,23,speaker,"kırmızı kravat"
8178-7,1621385369248,24,speaker,"inek"
8178-7,1621385389170,25,speaker,"kare renkli tablo"
8178-7,1621385414773,26,speaker,"kapı"
8178-7,1621385431881,27,speaker,"köpek"
8178-7,1621385452573,28,speaker,"küçük mavi sandalye"
8178-7,1621385474662,29,speaker,"büyük yeşil eldiven"
8178-7,1621385497972,30,speaker,"küçük yeşil araba"
8178-7,1621385514860,31,speaker,"muz"
8178-7,1621385539413,32,speaker,"yeşil biber"
8178-7,1621385563386,33,speaker,"büyük yeşil elbise"
8178-7,1621385586235,34,speaker,"kırmızı ruj"
8178-7,1621385615536,35,speaker,"mavi büyük fırça"
8178-7,1621385640395,36,speaker,"açılmış karton kutu"
8178-7,1621385658697,37,speaker,"civciv"
8178-7,1621385680523,38,speaker,"kırışmış kırmızı şort"
8178-7,1621385710301,39,speaker,"mavi makas"
8178-7,1621385730023,40,speaker,"mavi çorap"
8178-7,1621385758352,41,speaker,"gri küçük anahtar"
8178-7,1621385780688,42,speaker,"yeşil küçük düğme"
8178-7,1621385802291,43,speaker,"gitar"
8178-7,1621385815248,44,speaker,"siyah parlak oje"
8178-7,1621385837533,45,speaker,"küçük mor renk"
8178-7,1621385859256,46,speaker,"sarı büyük saat"
8178-7,1621385878563,47,speaker,"yeşil tencere"
8178-7,1621385895449,48,speaker,"mavi küçük gözlük"
8178-7,1621385913596,49,speaker,"mavi şemşiye"
8178-7,1621385922250,50,speaker,"mor diş fırçası"
8178-7,1621385940047,51,speaker,"mavi büyük bıçak"
8178-7,1621385967761,52,speaker,"top sakallı gözlüklü adam"
8178-7,1621385976765,52,speaker,"ve bıyıklı"
8178-7,1621385994694,53,speaker,"yuvarlak büyük küpeli"
8178-7,1621386016394,54,speaker,"cam kase"
8178-7,1621386026713,55,speaker,"büyük pet şişe"
8178-7,1621386047739,56,speaker,"nüyük sarı çiçek"
8178-7,1621386051094,56,speaker,"büyük"
8178-7,1621386063957,57,speaker,"küçük metal masa"
8178-7,1621386086514,58,speaker,"yeşil çizgili kurbağa"
8178-7,1621386105589,59,speaker,"sarı kilit"
8178-7,1621386128790,60,speaker,"sakallı genç"
