gameid,time,roundNum,sender,contents
1719-9,1621392570894,1,speaker,"Hi"
1719-9,1621392575934,1,listener,"Hi"
1719-9,1621392591118,2,speaker,"Elephant"
1719-9,1621392598613,3,speaker,"Butter"
1719-9,1621392608275,4,speaker,"Horse"
1719-9,1621392616233,5,speaker,"Pine"
1719-9,1621392628718,6,speaker,"Grrenmother"
1719-9,1621392634040,6,listener,"Lol"
1719-9,1621392644910,7,speaker,"Botton "
1719-9,1621392645252,7,listener,"Green"
1719-9,1621392653752,8,speaker,"flower"
1719-9,1621392662481,9,speaker,"yellow"
1719-9,1621392671441,10,speaker,"bliue"
1719-9,1621392679309,11,speaker,"green"
1719-9,1621392687998,12,speaker,"whithe"
1719-9,1621392702550,13,speaker,"gold"
1719-9,1621392712891,14,speaker,"blue"
1719-9,1621392722056,15,speaker,"blue"
1719-9,1621392737619,16,speaker,"big"
1719-9,1621392746871,16,listener,"Wich"
1719-9,1621392755296,16,speaker,"plastic"
1719-9,1621392779165,17,speaker,"green"
1719-9,1621392784568,18,speaker,"dog"
1719-9,1621392797657,19,speaker,"big"
1719-9,1621392806921,20,speaker,"mother"
1719-9,1621392826481,21,speaker,"round earring"
1719-9,1621392840147,22,speaker,"carrot"
1719-9,1621392850856,23,speaker,"green"
1719-9,1621392863614,24,speaker,"big"
1719-9,1621392883070,25,speaker,"smiled"
1719-9,1621392889706,26,speaker,"blue"
1719-9,1621392897669,27,speaker,"big"
1719-9,1621392910112,28,speaker,"big black"
1719-9,1621392917035,29,speaker,"green"
1719-9,1621392935505,30,speaker,"open wooden box"
1719-9,1621392949783,31,speaker,"orange"
1719-9,1621392957588,32,speaker,"pink"
1719-9,1621392987693,33,speaker,"yellow and red hand"
1719-9,1621393004181,34,speaker,"yellow"
1719-9,1621393013516,35,speaker,"pig"
1719-9,1621393020628,36,speaker,"red"
1719-9,1621393028213,37,speaker,"greeen"
1719-9,1621393045927,38,speaker,"cow"
1719-9,1621393057224,39,speaker,"big yellow"
1719-9,1621393066805,40,speaker,"red"
1719-9,1621393077151,41,speaker,"big orange"
1719-9,1621393095409,42,speaker,"hat and thin mustache"
1719-9,1621393103900,43,speaker,"banana"
1719-9,1621393110558,44,speaker,"blue"
1719-9,1621393116144,45,speaker,"red"
1719-9,1621393124527,46,speaker,"big red"
1719-9,1621393138092,47,speaker,"small red"
1719-9,1621393147093,48,speaker,"nemo"
1719-9,1621393167784,49,speaker,"wooden spoon, we are sending very well"
1719-9,1621393180584,50,speaker,"black"
1719-9,1621393189200,51,speaker,"chichken"
1719-9,1621393204829,52,speaker,"vase"
1719-9,1621393213465,53,speaker,"big cat"
1719-9,1621393223350,54,speaker,"small apple"
1719-9,1621393246857,55,speaker,"Brown "
1719-9,1621393266640,57,speaker,"knife red, pincel blue"
1719-9,1621393269285,57,speaker,"very nice"
1719-9,1621393312606,58,speaker,"red shorts that are smooth and not rumpled"
1719-9,1621393326369,59,speaker,"door"
1719-9,1621393343842,60,speaker,"big colorful frame"
