gameid,time,roundNum,sender,contents
1021-0,1621394000385,1,speaker,"domates"
1021-0,1621394035727,2,speaker,"fil"
1021-0,1621394060158,3,speaker,"kelebek"
1021-0,1621394079648,4,speaker,"at"
1021-0,1621394101248,5,speaker,"çilek"
1021-0,1621394146898,6,speaker,"yeşil araba daha büyük resim"
1021-0,1621394194294,7,listener,"pembe ayakkabı?"
1021-0,1621394196794,7,speaker,"pembe spor ayakkabılar"
1021-0,1621394263416,8,speaker,"daha büyük mor top"
1021-0,1621394303953,9,speaker,"beyaz benekli kırmızı kurbağa"
1021-0,1621394357798,10,speaker,"pembe çiçek küçük fotoğraf"
1021-0,1621394380849,11,speaker,"pembe ruj"
1021-0,1621394417158,12,speaker,"karanlık masa daha büyük fotoğraf"
1021-0,1621394442016,13,speaker,"muz"
1021-0,1621394461414,14,speaker,"mavi çorap"
1021-0,1621394502753,15,speaker,"büyük üçgen küpe"
1021-0,1621394533218,16,speaker,"beyaz üzerine sarı balık"
1021-0,1621394560986,17,speaker,"en büyük sarı saat"
1021-0,1621394583082,18,speaker,"inek"
1021-0,1621394606057,19,speaker,"en büyük sarı sandalye"
1021-0,1621394625807,20,speaker,"yeşil pantolon"
1021-0,1621394654482,21,speaker,"açık karton kutu"
1021-0,1621394710928,22,speaker,"sakalsız genç adamın yüzü"
1021-0,1621394753443,23,speaker,"kirsiz tahta kaşık"
1021-0,1621394777224,24,speaker,"küçük mavi bıçak"
1021-0,1621394816780,25,speaker,"beyaz çizgili mavi kravat"
1021-0,1621394839528,26,speaker,"yeşil makas"
1021-0,1621394870457,27,speaker,"küçük mavi gözlükler"
1021-0,1621394902803,28,speaker,"küçük mavi düğme"
1021-0,1621394940155,29,speaker,"siyah saçlı kadın ağlıyor"
1021-0,1621394969612,30,speaker,"sarı gömlek"
1021-0,1621394998196,31,speaker,"küçük şeffaf anahtar"
1021-0,1621395021710,32,speaker,"cam kase"
1021-0,1621395040826,33,speaker,"havuç"
1021-0,1621395067026,34,speaker,"büyük sarı balon"
1021-0,1621395095789,35,speaker,"küçük mavi sırt çantası"
1021-0,1621395129650,36,speaker,"kahverengi kıvırcık saç"
1021-0,1621395190088,37,speaker,"küçük tüm beyaz şişe"
1021-0,1621395216935,38,speaker,"büyük beyaz kedi"
1021-0,1621395241606,39,speaker,"büyük yeşil elbise"
1021-0,1621395267787,40,speaker,"Civciv"
1021-0,1621395289781,41,speaker,"siyah çakmak"
1021-0,1621395321254,42,speaker,"parlaklık ile siyah çivi"
1021-0,1621395346500,43,speaker,"yeşil gitar"
1021-0,1621395371567,44,speaker,"küçük siyah kalem"
1021-0,1621395413239,45,speaker,"bu kırışık olmayan yeşil şortlar"
1021-0,1621395435974,46,speaker,"domuz"
1021-0,1621395465382,47,speaker,"küçük elma"
1021-0,1621395493052,48,speaker,"mor fırça"
1021-0,1621395537344,49,speaker,"ince yüz gülümseyen kadın"
1021-0,1621395562552,50,speaker,"sarı asma kilit"
1021-0,1621395581825,51,speaker,"Mavi etek"
1021-0,1621395605287,52,speaker,"Yeşil biber"
1021-0,1621395627900,53,speaker,"büyük kırmızı fırça"
1021-0,1621395663719,54,speaker,"sakallı ve şapelli yüz"
1021-0,1621395691772,55,speaker,"köpek yavrusu"
1021-0,1621395713975,56,speaker,"mavi tava"
1021-0,1621395753288,57,speaker,"küçük kare renksiz çerçeve"
1021-0,1621395773117,58,speaker,"kapı"
1021-0,1621395800141,59,speaker,"küçük turuncu eldiven"
1021-0,1621395828745,60,speaker,"yeşil şemsiye"
