gameid,time,roundNum,sender,contents
3133-7,1621397992837,1,speaker,"Kırmızı renkli"
3133-7,1621398015728,2,speaker,"Hortumu var"
3133-7,1621398049410,3,speaker,"Kanatlı"
3133-7,1621398090737,4,speaker,"Binek hayvanı"
3133-7,1621398115832,5,speaker,"Meyva "
3133-7,1621398159647,6,speaker,"Gülümsemeyen zayıf"
3133-7,1621398206125,7,speaker,"Farklı renkte olan"
3133-7,1621398229566,8,speaker,"Telli"
3133-7,1621398273213,9,speaker,"Farlı renkli"
3133-7,1621398295370,10,speaker,"Yeşil"
3133-7,1621398324754,11,speaker,"Mavi"
3133-7,1621398351844,12,speaker,"Büyük pet şişe"
3133-7,1621398383141,13,speaker,"Şapkalı sakallı"
3133-7,1621398414596,14,speaker,"Kırmızı renkli"
3133-7,1621398454814,15,speaker,"Küçük ahşap"
3133-7,1621398472239,16,speaker,"Meyva"
3133-7,1621398522858,17,speaker,"Büyüyünce tavuk olur"
3133-7,1621398570443,18,speaker,"Küçük daire"
3133-7,1621398588063,19,speaker,"Sütü içilir"
3133-7,1621398618981,20,speaker,"Rengi farklı"
3133-7,1621398660576,21,speaker,"Dilimlemiş"
3133-7,1621398710779,22,speaker,"En küçük"
3133-7,1621398749100,23,speaker,"Büyük siyah"
3133-7,1621398779358,24,speaker,"Kilidi var"
3133-7,1621398802053,25,speaker,"Yeşil"
3133-7,1621398851792,26,speaker,"Büyük yeşil"
3133-7,1621398879885,27,speaker,"Mavi ola"
3133-7,1621398904240,28,speaker,"Havlar"
3133-7,1621398957298,29,speaker,"En büyüğü"
3133-7,1621398984663,30,speaker,"En büyük"
3133-7,1621399059806,31,speaker,"Baş parmağın çizgileri belli kırmızı"
3133-7,1621399082932,32,speaker,"Beyaz"
3133-7,1621399116974,33,speaker,"Turuncu renkli"
3133-7,1621399165259,34,speaker,"Binek hayvanı olmayan"
3133-7,1621399189180,35,speaker,"En büyük"
3133-7,1621399212374,36,speaker,"En küçük"
3133-7,1621399242472,37,speaker,"En büyük"
3133-7,1621399274282,38,speaker,"Çizgili kırmızı"
3133-7,1621399316310,39,speaker,"Ağlayan"
3133-7,1621399348177,40,speaker,"Sarı"
3133-7,1621399366041,41,speaker,"En. Üyüm"
3133-7,1621399375500,41,speaker,"En büyük"
3133-7,1621399392359,42,speaker,"En küçük"
3133-7,1621399420517,43,speaker,"En büyük"
3133-7,1621399472249,44,speaker,"Daha kirli tahta kaşık"
3133-7,1621399493752,45,speaker,"En büyük"
3133-7,1621399531377,46,speaker,"En büyük"
3133-7,1621399569724,47,speaker,"En büyük"
3133-7,1621399596449,48,speaker,"Açık renkli düz"
3133-7,1621399633072,49,speaker,"En kücük"
3133-7,1621399651379,50,speaker,"Yeşil"
3133-7,1621399686001,51,speaker,"Cam"
3133-7,1621399706509,51,listener,"?"
3133-7,1621399722237,51,speaker,"İçine yiyecek konur"
3133-7,1621399745065,52,speaker,"Sebze olan"
3133-7,1621399767060,53,speaker,"Pembe"
3133-7,1621399792894,54,speaker,"Kalapı ahşap"
3133-7,1621399801361,54,speaker,"Kapalı"
3133-7,1621399827123,55,speaker,"Büyük renksiz"
3133-7,1621399848810,56,speaker,"Pembe"
3133-7,1621399884012,57,speaker,"Genç sakallı"
3133-7,1621399901663,58,speaker,"En küçük"
3133-7,1621399917967,59,speaker,"En büyük"
3133-7,1621399943204,60,speaker,"En küçük"
