gameid,time,roundNum,sender,contents
5999-f,1621412284310,1,speaker,"elma seç"
5999-f,1621412318550,2,speaker,"fil seç"
5999-f,1621412358863,3,speaker,"kelebek seç"
5999-f,1621412373599,4,speaker,"at seç"
5999-f,1621412393375,5,speaker,"Jerry'yi seç"
5999-f,1621412416992,6,speaker,"mavi küçük kalem seç"
5999-f,1621412438840,7,speaker,"küçük kırmızı çiçek seç"
5999-f,1621412467360,8,speaker,"büyük şişe seç"
5999-f,1621412486762,9,speaker,"büyük yeşil elbiseyi seç"
5999-f,1621412507192,10,speaker,"büyük saat seç"
5999-f,1621412529065,11,speaker,"küçük sarı balon seç"
5999-f,1621412549809,12,speaker,"beyaz ateşi seç"
5999-f,1621412574298,13,speaker,"beyaz tavuk seç"
5999-f,1621412594618,14,speaker,"yeşil fırça seç"
5999-f,1621412613905,15,speaker,"kahverengi elmayı büyük seç"
5999-f,1621412631978,16,speaker,"yeşil elbise seç"
5999-f,1621412646307,17,speaker,"sarı ayakkabı seç"
5999-f,1621412667563,18,speaker,"küçük eldivenler seç"
5999-f,1621412699011,19,speaker,"sakalsız seç"
5999-f,1621412717179,20,speaker,"yeşil düğmeyi seç"
5999-f,1621412736932,21,speaker,"yeşil gitar seç"
5999-f,1621412752715,22,speaker,"büyük sarı sandalye seç"
5999-f,1621412766292,23,speaker,"muz seç"
5999-f,1621412780075,24,speaker,"domuz seç"
5999-f,1621412797637,25,speaker,"küçük sarı anahtarı seç"
5999-f,1621412813996,26,speaker,"cam insanı seç"
5999-f,1621412840461,27,speaker,"mavi büyük turu seç"
5999-f,1621412855229,28,speaker,"kapıyı seç"
5999-f,1621412874293,29,speaker,"büyük çerçeve seç"
5999-f,1621412889165,30,speaker,"gül pantolonu seç"
5999-f,1621412909885,31,speaker,"yeşil büyük arabayı seç"
5999-f,1621412926662,32,speaker,"küçük fırça seç"
5999-f,1621412944190,33,speaker,"büyük yüz seç"
5999-f,1621412966005,34,speaker,"gülümseme yüzünü seç"
5999-f,1621412986046,35,speaker,"inek seç"
5999-f,1621413000166,36,speaker,"yeşili seç"
5999-f,1621413012697,37,speaker,"maviyi seç"
5999-f,1621413030738,38,speaker,"küçük bıçak seç"
5999-f,1621413040903,39,speaker,"kase seç"
5999-f,1621413055375,40,speaker,"küçük seç"
5999-f,1621413072807,41,speaker,"turuncu ruj seç"
5999-f,1621413086095,42,speaker,"büyük beyaz kedi seç"
5999-f,1621413100984,43,speaker,"havuç seç"
5999-f,1621413114383,44,speaker,"beyaz küçük seç"
5999-f,1621413129655,45,speaker,"kapalı kutu seç"
5999-f,1621413145720,46,speaker,"kırmızıyı seç"
5999-f,1621413163488,47,speaker,"turuncu cila seç"
5999-f,1621413177960,48,speaker,"maviyi seç"
5999-f,1621413189080,49,speaker,"turuncuyu seç"
5999-f,1621413206625,50,speaker,"çerçeve"
5999-f,1621413222956,51,speaker,"mavi çanta"
5999-f,1621413238746,52,speaker,"saç"
5999-f,1621413242857,52,speaker,"saç"
5999-f,1621413251033,53,speaker,"saç"
5999-f,1621413265601,54,speaker,"saç"
5999-f,1621413271082,55,speaker,"saç"
5999-f,1621413277578,56,speaker,"saç"
5999-f,1621413283994,57,speaker,"saç"
5999-f,1621413292378,58,speaker,"saç"
5999-f,1621413301707,59,speaker,"saç"
5999-f,1621413308082,60,speaker,"saç"
