gameid,time,roundNum,sender,contents
4108-4,1621444443615,1,listener,"lufen baslarmisiniz"
4108-4,1621444454529,1,listener,"zaman geciyor"
4108-4,1621444539314,1,listener,"kimse birsey anlatmiyor"
4108-4,1621445922955,1,speaker,"merhaba orada mısınız"
4108-4,1621446039620,1,listener,"burdayim"
4108-4,1621446053644,1,speaker,"başlayalım haydi"
4108-4,1621446055810,1,speaker,"domates"
4108-4,1621446063155,2,speaker,"fil"
4108-4,1621446071012,3,speaker,"kelebek"
4108-4,1621446076827,4,speaker,"at"
4108-4,1621446082587,5,speaker,"çilek"
4108-4,1621446098716,6,speaker,"pembe büyük top"
4108-4,1621446101740,6,speaker,"mor pardon"
4108-4,1621446109404,7,speaker,"büyük turuncu eldiven"
4108-4,1621446121876,8,speaker,"diğerlrinden büyük mavimsi elbise"
4108-4,1621446129071,9,speaker,"balık"
4108-4,1621446139044,10,speaker,"diğerlerinden ufak altın renginde anahtar"
4108-4,1621446167548,10,speaker,"bulamadınız mı"
4108-4,1621446179341,11,speaker,"domuz"
4108-4,1621446190476,12,speaker,"diğerlerinden ufak sarı çiçek"
4108-4,1621446207069,13,speaker,"ağlar gibi duran siyah saçlı kadın"
4108-4,1621446219508,14,speaker,"pembe converse"
4108-4,1621446230564,15,speaker,"diğerlerinden büyük kırmızı çanta"
4108-4,1621446236668,16,speaker,"havuç"
4108-4,1621446247629,17,speaker,"küçük siyah kalem"
4108-4,1621446259829,18,speaker,"küçük pembe balon"
4108-4,1621446285197,19,speaker,"üzgün duran ve çenesi diğerlerine göre şekilsiz duran kadın"
4108-4,1621446307885,20,speaker,"diğerlerinden ufak turkuazımsı sandalye"
4108-4,1621446331901,21,speaker,"ucunda mantar gibi emniyet şeyi duran büyük şişe"
4108-4,1621446343717,22,speaker,"az öncekini doğru işaretlediniz."
4108-4,1621446346621,22,speaker,"kase"
4108-4,1621446355382,23,speaker,"yeşil biber"
4108-4,1621446371845,24,speaker,"kırmızı şort - diğerine göre daha çok ütülü duruyor"
4108-4,1621446384237,25,speaker,"büyük mavi fırça"
4108-4,1621446390981,26,speaker,"köpek"
4108-4,1621446399622,27,speaker,"küçük yeşil elma"
4108-4,1621446407957,28,speaker,"beyaz cricket çakmak"
4108-4,1621446421069,29,speaker,"tahta görünümlü ve temiz görünümlü kaşık"
4108-4,1621446434229,30,speaker,"açık karton kutu"
4108-4,1621446441479,31,speaker,"yeşil bas gitar"
4108-4,1621446451542,32,speaker,"küçük mavi bıçak"
4108-4,1621446456206,33,speaker,"inek"
4108-4,1621446462494,34,speaker,"yeşil fırça"
4108-4,1621446468022,35,speaker,"kapı"
4108-4,1621446478670,36,speaker,"sarı düz saçlı kadın"
4108-4,1621446486702,37,speaker,"turuncu tişört"
4108-4,1621446498430,38,speaker,"üçgen şeklinde ufak küpe"
4108-4,1621446505325,39,speaker,"civciv"
4108-4,1621446513782,40,speaker,"küçük mavi gözlük"
4108-4,1621446525070,41,speaker,"bu arada hiç yanlış cevap vermeik, tebrik ederim devam"
4108-4,1621446529486,41,speaker,"küçük sarı saat"
4108-4,1621446532998,41,listener,"sagolun"
4108-4,1621446542134,42,speaker,"siz sağolun ben doğru anlatamadığım zamanlar oldu :)"
4108-4,1621446554446,42,speaker,"parlak siyah parmak ve oje"
4108-4,1621446571422,43,speaker,"çizgili kırmızı kurbağa"
4108-4,1621446584670,44,speaker,"dikdörtgen renkli tablo"
4108-4,1621446596070,45,speaker,"mavi makas"
4108-4,1621446604326,46,speaker,"mavi kravat"
4108-4,1621446626638,47,speaker,"sakalsız haki renkli şapkalı erkek"
4108-4,1621446641743,48,speaker,"kel sakalsız ve genç görünümlü erkek"
4108-4,1621446651207,49,speaker,"muz"
4108-4,1621446657735,50,speaker,"yeşil çorap"
4108-4,1621446666494,51,speaker,"büyük yeşil araba"
4108-4,1621446680807,52,speaker,"büyük ahşap renkli masa (ayakları büyük)"
4108-4,1621446690071,53,speaker,"mavi şemsiye"
4108-4,1621446697359,54,speaker,"gri kilit"
4108-4,1621446707071,55,speaker,"mavi etek"
4108-4,1621446716527,56,speaker,"yeşil pantolon"
4108-4,1621446725846,57,speaker,"kırmızı ruj"
4108-4,1621446732783,58,speaker,"küçük yeşil düğme"
4108-4,1621446740638,59,speaker,"büyük beyaz kedi"
4108-4,1621446751174,60,speaker,"yeşil tencere :) iyi günler"
