gameid,time,roundNum,sender,contents
0980-6,1621453022715,1,speaker,"YEMEKTİR"
0980-6,1621453055170,2,speaker,"KÜL"
0980-6,1621453096472,3,speaker,"O UÇAR"
0980-6,1621453135216,4,speaker,"KAHVERENGİ"
0980-6,1621453170634,5,speaker,"Yiyor ve KIRMIZI"
0980-6,1621453209160,6,speaker,"BU BİR KADIN VE BRAVA"
0980-6,1621453260530,7,speaker,"MAVİ VE KÜÇÜK"
0980-6,1621453295890,8,speaker,"TÜM BOYUTLARDAN FARKLI"
0980-6,1621453325101,9,speaker,"FARKLI RENK"
0980-6,1621453354152,10,speaker,"FARKLI BOYUT"
0980-6,1621453393530,11,speaker,"Bıyık ve ŞAPKA KULLANILMAMAKTADIR"
0980-6,1621453426912,12,speaker," FARKLI BOYUT"
0980-6,1621453453102,13,speaker,"SÜT VER"
0980-6,1621453476555,14,speaker,"FARKLI RENK"
0980-6,1621453499055,15,speaker,"FARKLI RENK"
0980-6,1621453529871,16,speaker,"FARKLI BOYUT"
0980-6,1621453558033,17,speaker," FARKLI RENK"
0980-6,1621453594513,18,speaker,"KANAT VAR"
0980-6,1621453645504,19,speaker,"SAKALSIZ YAŞLI"
0980-6,1621453683884,20,speaker,"CAM VE KIRMIZI ÇORBA"
0980-6,1621453716488,21,speaker,"LİSTESİ VAR VE KIRMIZI"
0980-6,1621453751367,22,speaker,"FARKLI BOYUT"
0980-6,1621453791408,23,speaker,"KIRMIZI VE İYİ KIRIŞIK"
0980-6,1621453821660,24,speaker,"FARKLI BOYUT"
0980-6,1621453855519,25,speaker,"PLASTİK VE BÜYÜK"
0980-6,1621453888233,26,speaker,"MAYMUN BEĞENİYOR"
0980-6,1621453912478,27,speaker,"FARKLI RENK"
0980-6,1621453939691,28,speaker,"FARKLI BOYUT"
0980-6,1621453986039,28,speaker,"FARKLI BOYUT"
0980-6,1621454027533,29,speaker,"TAVŞAN YEMEKLERİ"
0980-6,1621454072887,30,speaker," Tamam KİRLİ"
0980-6,1621454086421,30,speaker,"ÇOK KİRLİ"
0980-6,1621454116395,31,speaker,"SİYAH VE PARLAKSIZ"
0980-6,1621454143880,32,speaker,"FARKLI BOYUT"
0980-6,1621454177779,33,speaker,"FARKLI RENK"
0980-6,1621454210817,34,speaker,"BÜYÜK VE RENGİ YOK"
0980-6,1621454242483,35,speaker,"BÜYÜK VE MAVİ"
0980-6,1621454292312,36,speaker,"İNSANIN EN İYİ ARKADAŞI"
0980-6,1621454319744,37,speaker,"BÜYÜK VE MAVİ"
0980-6,1621454375260,38,speaker,"FARKLI RENK"
0980-6,1621454395476,39,speaker,"FARKLI RENK"
0980-6,1621454421997,40,speaker,"PÜRÜZSÜZ VE SARI"
0980-6,1621454461933,41,speaker,"KÜÇÜK VE KAHVERENGİ"
0980-6,1621454501979,42,speaker,"NORMAL VE GÜLÜMSEYEN"
0980-6,1621454526902,43,speaker,"DENİZDE YAŞIYOR"
0980-6,1621454555109,44,speaker,"FARKLI BOYUT"
0980-6,1621454581236,45,speaker,"FARKLI BOYUT"
0980-6,1621454607085,46,speaker,"FARKLI RENK"
0980-6,1621454640173,47,speaker,"FARKLI BOYUT"
0980-6,1621454669801,48,speaker,"FARKLI RENK"
0980-6,1621454695340,49,speaker,"FARKLI BOYUT"
0980-6,1621454730388,50,speaker,"Bir yüzü var, küçük ve tadı çamur gibi"
0980-6,1621454756736,51,speaker,"FARKLI BOYUT"
0980-6,1621454779021,52,speaker,"FARKLI RENK"
0980-6,1621454809675,53,speaker,"MÜZİK ÇAL"
0980-6,1621454834476,54,speaker,"FARKLI RENK"
0980-6,1621454848181,55,speaker,"FARKLI RENK"
0980-6,1621454863301,56,speaker,"FARKLI RENK"
0980-6,1621454882684,57,speaker,"FARKLI BOYUT"
0980-6,1621454917430,58,speaker,"EVİ KORUR, AÇAR VE KAPATIR"
0980-6,1621454949866,59,speaker," KÜÇÜK VE YUVARLAK"
0980-6,1621454987929,60,speaker,"AHŞAP VE AÇIK"
