gameid,time,roundNum,sender,contents
0674-0,1621424431455,1,listener,"1"
0674-0,1621424493876,4,listener,"4"
0674-0,1621424502188,5,listener,"3"
0674-0,1621424511842,6,listener,"3"
0674-0,1621424518903,7,listener,"4"
0674-0,1621424525816,8,listener,"2"
0674-0,1621424531896,9,listener,"4"
0674-0,1621424537155,10,listener,"2"
0674-0,1621424544075,11,listener,"3"
0674-0,1621424550736,12,listener,"1"
0674-0,1621424557902,13,listener,"1"
0674-0,1621424564596,14,listener,"2"
0674-0,1621424570394,15,listener,"3"
0674-0,1621424575606,16,listener,"1"
0674-0,1621424580126,17,listener,"4"
0674-0,1621424584496,18,listener,"1"
0674-0,1621424588995,19,listener,"2"
0674-0,1621424593356,20,listener,"2"
0674-0,1621424597547,21,listener,"1"
0674-0,1621424602456,22,listener,"2"
0674-0,1621424606736,23,listener,"3"
0674-0,1621424607761,23,speaker,"mavi]"
0674-0,1621424611311,24,listener,"1"
0674-0,1621424618117,25,listener,"4"
0674-0,1621424624032,26,listener,"4"
0674-0,1621424630119,27,listener,"2"
0674-0,1621424632208,27,speaker,"3"
0674-0,1621424636984,28,listener,"1"
0674-0,1621424638503,29,speaker,"3"
0674-0,1621424641421,29,listener,"2"
0674-0,1621424646266,30,listener,"3"
0674-0,1621424646754,30,speaker,"1"
0674-0,1621424652651,31,speaker,"4"
0674-0,1621424652652,31,listener,"2"
0674-0,1621424657464,32,speaker,"3"
0674-0,1621424657851,32,listener,"2"
0674-0,1621424662416,33,listener,"1"
0674-0,1621424666623,34,listener,"2"
0674-0,1621424666900,34,speaker,"3"
0674-0,1621424671246,35,listener,"4"
0674-0,1621424672020,35,speaker,"3"
0674-0,1621424674711,36,listener,"3"
0674-0,1621424676004,36,speaker,"1"
0674-0,1621424678771,37,listener,"2"
0674-0,1621424679814,37,speaker,"3"
0674-0,1621424682496,38,listener,"1"
0674-0,1621424683224,38,speaker,"2"
0674-0,1621424687434,39,speaker,"2"
0674-0,1621424688796,39,listener,"2"
0674-0,1621424692536,40,listener,"1"
0674-0,1621424694334,41,speaker,"3"
0674-0,1621424699796,41,listener,"3"
0674-0,1621424704092,42,speaker,"1"
0674-0,1621424705117,42,listener,"3"
0674-0,1621424710550,43,listener,"1"
0674-0,1621424711838,43,speaker,"4"
0674-0,1621424715892,44,speaker,"1"
0674-0,1621424715896,44,listener,"2"
0674-0,1621424720348,45,listener,"1"
0674-0,1621424721759,46,speaker,"4"
0674-0,1621424724676,46,listener,"1"
0674-0,1621424725369,46,speaker,"43"
0674-0,1621424728941,47,listener,"2"
0674-0,1621424729203,47,speaker,"2"
0674-0,1621424732854,48,speaker,"2"
0674-0,1621424733164,48,listener,"3"
0674-0,1621424736586,49,listener,"1"
0674-0,1621424738654,50,speaker,"4"
0674-0,1621424740921,50,listener,"2"
0674-0,1621424743124,51,speaker,"4"
0674-0,1621424746381,51,listener,"3"
0674-0,1621424750996,52,listener,"4"
0674-0,1621424751874,52,speaker,"2"
0674-0,1621424755346,53,listener,"1"
0674-0,1621424755495,53,speaker,"2"
0674-0,1621424758861,54,listener,"3"
0674-0,1621424759365,54,speaker,"2"
0674-0,1621424763896,55,listener,"3"
0674-0,1621424764412,55,speaker,"2"
0674-0,1621424767411,56,speaker,"2"
0674-0,1621424770608,56,listener,"2"
0674-0,1621424775251,57,speaker,"3"
0674-0,1621424778588,57,listener,"1"
0674-0,1621424784091,58,speaker,"1"
0674-0,1621424786865,58,listener,"2"
0674-0,1621424791481,59,speaker,"3"
0674-0,1621424796182,59,listener,"1"
0674-0,1621424800011,60,speaker,"2"
0674-0,1621424802896,60,listener,"4"
