gameid,time,roundNum,sender,contents
0241-4,1621441115376,1,speaker,"Yuvarlak ve kırmızı"
0241-4,1621441164116,2,speaker,"O büyük ve gri"
0241-4,1621441187098,3,speaker,"Bu bir böcek ve mor"
0241-4,1621441228966,4,speaker,"Kahverengi ve dört ayaklı"
0241-4,1621441245150,5,speaker,"Kırmızı ve meyve"
0241-4,1621441279486,6,speaker,"Kırmızıdaki en küçük çift"
0241-4,1621441314309,7,speaker,"En kırışık yeşil çift"
0241-4,1621441349189,8,speaker,"üzgün genç kadın"
0241-4,1621441393445,9,speaker,"En küçük mavi paket"
0241-4,1621441432651,10,speaker,"Tek kırmızı olan"
0241-4,1621441475668,11,speaker,"Sarı meyve"
0241-4,1621441551627,12,speaker,"Küçük yeşil olan"
0241-4,1621441590347,13,speaker,"Tek yeşil olan"
0241-4,1621441627264,14,speaker,"Küçük yuvarlak olan"
0241-4,1621441666430,15,speaker,"Küçük siyah olan"
0241-4,1621441721362,16,speaker,"En büyük pembe olan"
0241-4,1621441753766,17,speaker,"tek yeşil olan"
0241-4,1621441810143,18,speaker,"Pembe dört ayaklı"
0241-4,1621441850440,19,speaker,"küçük yeşil olan"
0241-4,1621441886549,20,speaker,"En büyük mavi olan"
0241-4,1621441921877,21,speaker,"en küçük sarı olan"
0241-4,1621441962648,22,speaker,"Düz sarışın olan"
0241-4,1621441984918,23,speaker,"açık olan"
0241-4,1621442027184,24,speaker,"tek sarı olan"
0241-4,1621442054068,25,speaker,"Kahverengi dikdörtgen"
0241-4,1621442081980,26,speaker,"Daha büyük cam olan"
0241-4,1621442110582,27,speaker,"en büyük kırmızı olan"
0241-4,1621442143929,28,speaker,"tek yeşil olan"
0241-4,1621442185122,29,speaker,"en sağdaki kırmızı olanlar"
0241-4,1621442212508,30,speaker,"turuncu sebze"
0241-4,1621442249810,31,speaker,"en büyük mavi olan"
0241-4,1621442278129,32,speaker,"yeşil enstrüman"
0241-4,1621442310606,33,speaker,"daha şişman üzgün olan"
0241-4,1621442348172,34,speaker,"daha uzun kahverengi olan"
0241-4,1621442373698,35,speaker,"tek kırmızı olan"
0241-4,1621442408238,36,speaker,"en küçük mor olan"
0241-4,1621442427934,37,speaker,"tek kırmızı olan"
0241-4,1621442451665,38,speaker,"yavru kuş"
0241-4,1621442495832,39,speaker,"en küçük altın olan"
0241-4,1621442520601,40,speaker,"en küçük mavi olan"
0241-4,1621442560159,41,speaker,"genç traşlı olan"
0241-4,1621442584343,42,speaker,"kapalı karton kutu"
0241-4,1621442615944,43,speaker,"en büyük siyah olan"
0241-4,1621442663330,44,speaker,"sakallı ve gözlüklü genç"
0241-4,1621442691804,45,speaker,"siyah olan"
0241-4,1621442722559,46,speaker,"mor olan"
0241-4,1621442795572,47,speaker,"küçük renk yok"
0241-4,1621442861611,48,speaker,"küçük sarı"
0241-4,1621442902017,49,speaker,"noktalı yeşil"
0241-4,1621442954700,50,speaker,"yeşil"
0241-4,1621442969418,51,speaker,"yeşil"
0241-4,1621442997042,52,speaker,"Turuncu ve büyük"
0241-4,1621443035985,53,speaker,"altın"
0241-4,1621443079838,54,speaker,"memeli"
0241-4,1621443121889,55,speaker,"küçük portakal"
0241-4,1621443143214,56,speaker,"kirli gümüş olan"
0241-4,1621443183302,57,speaker,"turuncu ve siyah balık"
0241-4,1621443204846,58,speaker,"siyah ve beyaz"
0241-4,1621443226373,59,speaker,"büyük ve mor"
0241-4,1621443247086,60,speaker,"mavi"
