gameid,time,roundNum,sender,contents
0626-1,1621504646963,1,speaker,"domates"
0626-1,1621504658058,2,speaker,"fil"
0626-1,1621504663634,3,speaker,"kelebek"
0626-1,1621504667742,4,speaker,"at"
0626-1,1621504672962,5,speaker,"çilek"
0626-1,1621504684377,6,speaker,"yeşil makas"
0626-1,1621504701201,7,speaker,"sakallı ve gözlüklü adam"
0626-1,1621504722104,8,speaker,"çizgili küçük şişe"
0626-1,1621504741598,9,speaker,"büyük sarı çiçek"
0626-1,1621504754765,10,speaker,"yeşil dolma biber"
0626-1,1621504791423,11,speaker,"dar kare renkli doğa resim"
0626-1,1621504808726,12,speaker,"gülümseyen yaşlı kadın"
0626-1,1621504817790,13,speaker,"düz sarı saç"
0626-1,1621504825999,14,speaker,"siyah çakmak"
0626-1,1621504835501,15,speaker,"turuncu tişört"
0626-1,1621504841349,16,speaker,"civciv"
0626-1,1621504856661,17,speaker,"en küçük kırmızı çanta "
0626-1,1621504863876,18,speaker,"havuç"
0626-1,1621504868357,19,speaker,"inek"
0626-1,1621504873460,20,speaker,"kapı"
0626-1,1621504888484,21,speaker,"kısa kahverengi masa"
0626-1,1621504895955,22,speaker,"domuz"
0626-1,1621504908195,23,speaker,"en büyük kırmızı fırça"
0626-1,1621504919675,24,speaker,"en büyük sarı balon"
0626-1,1621504934667,25,speaker,"en küçük kırmızı bıçak"
0626-1,1621504942443,26,speaker,"balık"
0626-1,1621504949122,27,speaker,"yeşil pantalon"
0626-1,1621504957027,28,speaker,"mavi tencere"
0626-1,1621504965074,29,speaker,"küçük eldiven"
0626-1,1621504980769,30,speaker,"yeşil benekli kurbağa"
0626-1,1621504990442,31,speaker,"küçük elma"
0626-1,1621504999922,32,speaker,"küçük mavi araba"
0626-1,1621505011336,33,speaker,"sarı ayakkabı"
0626-1,1621505017464,34,speaker,"gitar"
0626-1,1621505026968,35,speaker,"mavi küçük elbise"
0626-1,1621505034561,36,speaker,"kırmızı ruj"
0626-1,1621505040137,37,speaker,"köpek"
0626-1,1621505045672,38,speaker,"gri"
0626-1,1621505050928,39,speaker,"muz"
0626-1,1621505066943,40,speaker,"tahta az kirli kaşık"
0626-1,1621505093982,41,speaker,"büyük düğme"
0626-1,1621505107863,42,speaker,"büyük mor"
0626-1,1621505119590,43,speaker,"küçük mavi kalem"
0626-1,1621505127902,44,speaker,"yeşil"
0626-1,1621505136710,45,speaker,"tabak"
0626-1,1621505160309,46,speaker,"kapalı tahta kutu"
0626-1,1621505168077,47,speaker,"mavi"
0626-1,1621505176517,48,speaker,"sarı büyük saat"
0626-1,1621505189125,49,speaker,"üçgen küçük"
0626-1,1621505196237,50,speaker,"mavi"
0626-1,1621505203588,51,speaker,"küçük"
0626-1,1621505213548,52,speaker,"kırmızı buruşuk"
0626-1,1621505226236,53,speaker,"kırmızı küçük"
0626-1,1621505237940,54,speaker,"tombul gülümseyen"
0626-1,1621505300651,55,speaker,"kırmızı ojeli baş parmağı resimde tam görülmeyen"
0626-1,1621505347419,55,listener,"oje mat mı parlak mı"
0626-1,1621505363601,55,speaker,"parlak"
0626-1,1621505370734,56,speaker,"mor"
0626-1,1621505378371,57,speaker,"küçük sarı"
0626-1,1621505390713,58,speaker,"küçük sarı"
0626-1,1621505406960,59,speaker,"kel genç sakalsız"
0626-1,1621505419207,60,speaker,"yeşil"
