gameid,time,roundNum,sender,contents
6693-c,1621506331473,1,speaker,"domates"
6693-c,1621506337297,2,speaker,"fil"
6693-c,1621506342802,3,speaker,"kelebek"
6693-c,1621506352607,4,speaker,"at"
6693-c,1621506358705,5,speaker,"çilek"
6693-c,1621506374347,6,listener,"cam şişemi pet şişemi"
6693-c,1621506387750,6,speaker,"pet küçük"
6693-c,1621506396733,7,speaker,"büyük çiçek"
6693-c,1621506405863,8,speaker,"tabak"
6693-c,1621506420166,9,speaker,"gülümseyen yaşlı kadın"
6693-c,1621506429239,10,speaker,"sarı t"
6693-c,1621506438495,11,speaker,"küçük eldiven"
6693-c,1621506444310,12,speaker,"mor"
6693-c,1621506458135,13,speaker,"yeşil buruşuk"
6693-c,1621506468365,14,speaker,"kırmızı benekli"
6693-c,1621506474469,15,speaker,"gitar"
6693-c,1621506490262,16,speaker,"sakalsız yaşlı"
6693-c,1621506505300,17,speaker,"gülümseyen zayıf"
6693-c,1621506516996,18,speaker,"gri büyük"
6693-c,1621506527517,19,speaker,"düz sarışın"
6693-c,1621506536324,20,speaker,"halka büyük"
6693-c,1621506551291,21,speaker,"sakal şapka"
6693-c,1621506557468,22,speaker,"inek"
6693-c,1621506563132,23,speaker,"yeşil"
6693-c,1621506568730,24,speaker,"büyük"
6693-c,1621506579084,25,speaker,"karton kapalı kutu"
6693-c,1621506587866,26,speaker,"sarı küçük"
6693-c,1621506593625,27,speaker,"yeşil"
6693-c,1621506599986,28,speaker,"küçük"
6693-c,1621506611778,29,speaker,"kirli tahta kaşık"
6693-c,1621506620413,30,speaker,"hav"
6693-c,1621506626585,30,speaker,"uç"
6693-c,1621506634009,31,speaker,"sarı"
6693-c,1621506641711,32,speaker,"pembe"
6693-c,1621506648806,33,speaker,"büyük"
6693-c,1621506654710,34,speaker,"yeşil"
6693-c,1621506660482,35,speaker,"büyük"
6693-c,1621506666008,36,speaker,"mavi"
6693-c,1621506671671,37,speaker,"balık"
6693-c,1621506677097,38,speaker,"mavi"
6693-c,1621506682000,39,speaker,"köpek"
6693-c,1621506692801,40,speaker,"mat siyah "
6693-c,1621506698702,41,speaker,"domuz"
6693-c,1621506707742,42,speaker,"mavi küçük"
6693-c,1621506713015,43,speaker,"mavi"
6693-c,1621506721111,44,speaker,"küçük yeşil"
6693-c,1621506729893,45,speaker,"küçük siyah"
6693-c,1621506735974,46,speaker,"küçük"
6693-c,1621506740055,47,speaker,"kapı"
6693-c,1621506745798,48,speaker,"küçük"
6693-c,1621506751566,49,speaker,"büyük"
6693-c,1621506758534,50,speaker,"pembe"
6693-c,1621506762296,51,speaker,"muz"
6693-c,1621506768573,52,speaker,"küçük"
6693-c,1621506774014,53,speaker,"büyük"
6693-c,1621506779342,54,speaker,"beyaz"
6693-c,1621506790248,55,speaker,"renksiz küçük"
6693-c,1621506798061,56,speaker,"civciv"
6693-c,1621506803772,57,speaker,"küçük"
6693-c,1621506811595,58,speaker,"mavi büyük"
6693-c,1621506818149,59,speaker,"kırmızı"
6693-c,1621506824355,60,speaker,"yeşil"
