gameid,time,roundNum,sender,contents
1748-7,1621528693249,1,speaker,"kirmizi"
1748-7,1621528709331,2,speaker,"hayvan"
1748-7,1621528727113,3,speaker,"kanatlari var"
1748-7,1621528753438,4,speaker,"kahverengi"
1748-7,1621528761423,4,speaker,"kosar"
1748-7,1621528770755,5,speaker,"kirmizi"
1748-7,1621528773311,5,speaker,"yenir"
1748-7,1621528798479,6,speaker,"buyuk yesil"
1748-7,1621528831374,7,speaker,"kirmizi tirnakli daha siki tutulan"
1748-7,1621528870166,7,listener,"parlak mı yoksa opak mı? "
1748-7,1621528877937,7,speaker,"mat olan"
1748-7,1621528896819,8,speaker,"yuvarlak kupe"
1748-7,1621528917663,9,speaker,"kirmizi "
1748-7,1621528922675,9,speaker,"kivisik olmayan"
1748-7,1621528941252,10,speaker,"good boy"
1748-7,1621528951336,11,speaker,"kucuk siyah"
1748-7,1621528963940,12,speaker,"mavi"
1748-7,1621528978400,13,speaker,"yesil"
1748-7,1621529002381,14,speaker,"mavi kucuk"
1748-7,1621529015837,15,speaker,"sari"
1748-7,1621529029620,16,speaker,"seffaf"
1748-7,1621529042288,17,speaker,"yesil"
1748-7,1621529058823,18,speaker,"acik tahta olan"
1748-7,1621529081013,18,speaker,"ustu acik olan"
1748-7,1621529097234,19,speaker,"kucuk sari"
1748-7,1621529109693,20,speaker,"kirmizi buyuk"
1748-7,1621529128742,21,speaker,"butuk cizgili"
1748-7,1621529134595,21,speaker,"buyuk"
1748-7,1621529150164,22,speaker,"kirmizi"
1748-7,1621529161040,23,speaker,"kucuk mavi"
1748-7,1621529170635,24,speaker,"sari kucuk"
1748-7,1621529180252,25,speaker,"mavi"
1748-7,1621529190613,26,speaker,"meyve"
1748-7,1621529202325,27,speaker,"mavi"
1748-7,1621529211112,28,speaker,"sari"
1748-7,1621529219297,29,speaker,"mavi"
1748-7,1621529227300,30,speaker,"mavi buyuk"
1748-7,1621529235593,31,speaker,"mor"
1748-7,1621529246329,32,speaker,"buyuk beyaz"
1748-7,1621529268009,33,speaker,"yali uzgun"
1748-7,1621529269687,33,speaker,"yasli"
1748-7,1621529292948,34,speaker,"sari"
1748-7,1621529308486,35,speaker,"kirmizi cizgili"
1748-7,1621529320037,36,speaker,"yesil"
1748-7,1621529333778,37,speaker,"sakalli duz"
1748-7,1621529359647,38,speaker,"mavi"
1748-7,1621529377005,39,speaker,"sisman gulen"
1748-7,1621529389312,40,speaker,"kirmizi buyuk"
1748-7,1621529404194,41,speaker,"metal kirli"
1748-7,1621529426621,42,speaker,"kare siyah beyaz olan"
1748-7,1621529442421,43,speaker,"ten rengi"
1748-7,1621529448780,43,speaker,"hayvan"
1748-7,1621529459719,44,speaker,"kirimizi buyuk"
1748-7,1621529470926,45,speaker,"buyuk"
1748-7,1621529474005,45,speaker,"turuncu"
1748-7,1621529484464,46,speaker,"mavik ucuk"
1748-7,1621529489760,46,speaker,"kucuk"
1748-7,1621529499419,47,speaker,"kucuk"
1748-7,1621529500436,47,speaker,"sari"
1748-7,1621529514334,48,speaker,"metal rengi"
1748-7,1621529526888,49,speaker,"mor kucuk"
1748-7,1621529541550,50,speaker,"duz"
1748-7,1621529544334,50,speaker,"kahverengi"
1748-7,1621529548688,50,speaker,"koyu"
1748-7,1621529556791,51,speaker,"kirmizi"
1748-7,1621529571217,52,speaker,"biyikli"
1748-7,1621529573818,52,speaker,"gozlujlu"
1748-7,1621529595473,52,speaker,"sakalsiz"
1748-7,1621529618820,53,speaker,"sut verir"
1748-7,1621529629202,54,speaker,"acilir"
1748-7,1621529633290,54,speaker,"grilir"
1748-7,1621529651013,54,speaker,"tahta"
1748-7,1621529663949,55,speaker,"byuk"
1748-7,1621529675385,56,speaker,"turuncu"
1748-7,1621529683530,57,speaker,"siyah"
1748-7,1621529691916,58,speaker,"kucuk"
1748-7,1621529701470,59,speaker,"buyuk"
1748-7,1621529712015,60,speaker,"buyuk"
1748-7,1621529714932,60,speaker,"tahta"
