gameid,time,roundNum,sender,contents
4966-c,1620235540204,1,listener,"bla"
4966-c,1620235556172,2,listener,"hi"
4966-c,1620235566526,3,listener,"hii"
4966-c,1620235573917,4,listener,"ki"
4966-c,1620235582142,5,listener,"ji"
4966-c,1620235594595,6,speaker,"3"
4966-c,1620235598913,6,speaker,"third one"
4966-c,1620235599462,7,listener,"gy"
4966-c,1620235608811,7,listener,"hi"
4966-c,1620235611450,7,speaker,"hi"
4966-c,1620235620565,7,listener,"num"
4966-c,1620235637365,8,listener,"hi"
4966-c,1620235645895,9,listener,"m"
4966-c,1620235655235,10,listener,"h"
4966-c,1620235662184,11,listener,"h"
4966-c,1620235670251,12,listener,"k"
4966-c,1620235676672,13,listener,"j"
4966-c,1620235683680,14,listener,"j"
4966-c,1620235685734,14,speaker,"j"
4966-c,1620235693483,15,listener,"h"
4966-c,1620235702873,16,listener,"j"
4966-c,1620235704597,17,speaker,"j"
4966-c,1620235706704,17,speaker,"j"
4966-c,1620235708883,17,listener,"j"
4966-c,1620235709038,17,speaker,"n"
4966-c,1620235711916,17,speaker,"k"
4966-c,1620235718168,18,listener,"gh"
4966-c,1620235726202,19,listener,"df"
4966-c,1620235734857,20,listener,"sd"
4966-c,1620235742954,21,listener,"rrf"
4966-c,1620235751825,22,listener,"fg"
4966-c,1620235753991,22,speaker,"fg"
4966-c,1620235758859,23,listener,"gh"
4966-c,1620235760285,23,speaker,"gh"
4966-c,1620235767958,24,listener,"h"
4966-c,1620235774122,25,listener,"g"
4966-c,1620235774382,25,speaker,"h"
4966-c,1620235775565,25,speaker,"g"
4966-c,1620235781317,26,listener,"g"
4966-c,1620235782806,26,speaker,"g"
4966-c,1620235786921,27,listener,"g"
4966-c,1620235794700,28,listener,"w"
4966-c,1620235803293,29,listener,"gf"
4966-c,1620235810758,30,listener,"v"
4966-c,1620235821143,31,listener,"g"
4966-c,1620235827428,32,listener,"b"
4966-c,1620235836382,33,listener,"f"
4966-c,1620235837166,33,speaker,"g"
4966-c,1620235841135,34,speaker,"f"
4966-c,1620235843295,34,listener,"s"
4966-c,1620235845543,34,speaker,"s"
4966-c,1620235850096,35,listener,"h"
4966-c,1620235851408,35,speaker,"h"
4966-c,1620235857851,36,listener,"f"
4966-c,1620235859256,36,speaker,"f"
4966-c,1620235869245,37,listener,"g"
4966-c,1620235870439,37,speaker,"g"
4966-c,1620235876301,38,listener,"v"
4966-c,1620235886049,39,listener,"f"
4966-c,1620235887665,39,speaker,"f"
4966-c,1620235896528,40,listener,"f"
4966-c,1620235898080,40,speaker,"f"
4966-c,1620235915454,41,listener,"v"
4966-c,1620235923416,42,listener,"b"
4966-c,1620235929025,43,listener,"h"
4966-c,1620235935107,44,listener,"d"
4966-c,1620235938806,44,speaker,"d"
4966-c,1620235948222,45,listener,"f"
4966-c,1620235949484,45,speaker,"f"
4966-c,1620235957285,46,listener,"c"
4966-c,1620235964513,46,listener,"d"
4966-c,1620235973335,47,listener,"f"
4966-c,1620235976514,48,speaker,"f"
4966-c,1620235981981,48,listener,"h"
4966-c,1620235991024,49,listener,"j"
4966-c,1620236001029,50,listener,"g"
4966-c,1620236006552,50,listener,"f"
4966-c,1620236015623,51,listener,"k"
4966-c,1620236024538,52,listener,"g"
4966-c,1620236038667,53,listener,"j"
4966-c,1620236049339,54,listener,"k"
4966-c,1620236058564,55,listener,"j"
4966-c,1620236067501,56,listener,"k"
4966-c,1620236068789,56,speaker,"k"
4966-c,1620236076065,57,listener,"h"
4966-c,1620236084123,58,listener,"b"
4966-c,1620236085413,58,speaker,"b"
4966-c,1620236092894,59,listener,"h"
4966-c,1620236094272,59,speaker,"h"
4966-c,1620236106717,60,listener,"k"
