gameid,time,roundNum,sender,contents
9706-e,1620236639832,1,listener,"tell"
9706-e,1620236642549,1,speaker,"red"
9706-e,1620236653479,2,speaker,"big animal"
9706-e,1620236664286,2,listener,"now"
9706-e,1620236668933,3,speaker,"flies"
9706-e,1620236677608,4,speaker,"ride this"
9706-e,1620236686555,5,speaker,"red"
9706-e,1620236694669,6,speaker,"vegitable"
9706-e,1620236710327,7,speaker,"black and white square"
9706-e,1620236719350,8,speaker,"white"
9706-e,1620236730987,9,speaker,"large one"
9706-e,1620236741336,10,speaker,"open cardboard"
9706-e,1620236749337,11,speaker,"green"
9706-e,1620236759898,12,speaker,"no hair young"
9706-e,1620236767832,13,speaker,"green"
9706-e,1620236774477,14,speaker,"yello"
9706-e,1620236794031,15,speaker,"red, high knot"
9706-e,1620236810511,16,speaker,"red"
9706-e,1620236830531,17,speaker,"puppy "
9706-e,1620236834240,18,listener,"?"
9706-e,1620236837304,18,speaker,"blue"
9706-e,1620236845057,19,speaker,"fish"
9706-e,1620236851005,20,speaker,"green"
9706-e,1620236859669,21,speaker,"plastic small"
9706-e,1620236867128,23,speaker,"green"
9706-e,1620236875013,24,speaker,"bowl "
9706-e,1620236881605,25,speaker,"big"
9706-e,1620236889165,26,speaker,"wood, low"
9706-e,1620236903870,27,speaker,"chick"
9706-e,1620236913158,28,speaker,"big"
9706-e,1620236928530,29,speaker,"thin, happy"
9706-e,1620236937052,30,speaker,"small"
9706-e,1620236945487,31,speaker,"banana "
9706-e,1620236952855,32,speaker,"big"
9706-e,1620236960057,33,speaker,"pig"
9706-e,1620236972734,34,speaker,"blonde, curly "
9706-e,1620236981865,35,speaker,"big"
9706-e,1620236993041,36,speaker,"orange"
9706-e,1620237005571,37,speaker,"small, round"
9706-e,1620237020645,38,speaker,"green and white dots"
9706-e,1620237029586,39,speaker,"big"
9706-e,1620237037914,40,speaker,"short blue"
9706-e,1620237044916,41,speaker,"small"
9706-e,1620237052904,42,speaker,"big"
9706-e,1620237072144,43,speaker,"red, thumb full visible"
9706-e,1620237085521,44,speaker,"small"
9706-e,1620237097524,45,speaker,"small"
9706-e,1620237112909,46,speaker,"silver"
9706-e,1620237126370,47,speaker,"guitar "
9706-e,1620237133908,48,speaker,"blank"
9706-e,1620237140113,49,speaker,"door"
9706-e,1620237149069,50,speaker,"big"
9706-e,1620237169905,51,speaker,"hat, beard, "
9706-e,1620237176770,52,speaker,"big"
9706-e,1620237184960,53,speaker,"green"
9706-e,1620237191087,54,speaker,"cow"
9706-e,1620237196649,55,speaker,"red"
9706-e,1620237206671,56,speaker,"happy old"
9706-e,1620237213265,57,speaker,"small"
9706-e,1620237223751,58,speaker,"green"
9706-e,1620237233645,60,speaker,"red"
