gameid,time,roundNum,sender,contents
8347-d,1620237136795,1,speaker,"big"
8347-d,1620237159305,2,speaker,"banana"
8347-d,1620237173095,3,speaker,"dog"
8347-d,1620237191848,3,speaker,"dog"
8347-d,1620237207556,4,speaker,"fish"
8347-d,1620237220306,4,speaker,"horse"
8347-d,1620237251399,5,speaker,"duck"
8347-d,1620237269789,5,speaker,"strawberry"
8347-d,1620237292303,6,speaker,"nail"
8347-d,1620237318996,6,speaker,"nail"
8347-d,1620237333333,6,listener,"which nail"
8347-d,1620237345220,6,speaker,"red color"
8347-d,1620237363927,6,listener,"polished or mat finished"
8347-d,1620237384575,6,speaker,"polished"
8347-d,1620237426909,7,speaker,"purple colock"
8347-d,1620237459965,7,speaker,"colck"
8347-d,1620237470364,7,listener,"sure"
8347-d,1620237493298,8,speaker,"full shaving"
8347-d,1620237512286,8,listener,"male or female"
8347-d,1620237530189,8,speaker,"male"
8347-d,1620237544171,9,speaker,"blue"
8347-d,1620237608127,9,speaker,"blue"
8347-d,1620237627151,10,speaker,"ciecle"
8347-d,1620237667046,10,listener,"which one "
8347-d,1620237716867,10,listener,"are you there"
8347-d,1620237800462,11,listener,"tell me fast"
8347-d,1620237841538,11,listener,"are you there"
8347-d,1620237877427,12,listener,"tell me"
8347-d,1620237899622,13,listener,"answer me"
8347-d,1620237914420,14,listener,"answer me"
8347-d,1620237927063,15,listener,"tell me"
8347-d,1620237941502,16,listener,"answer me"
