gameid,time,roundNum,sender,contents
9549-9,1620241081670,1,speaker,"fruit"
9549-9,1620241092073,2,speaker,"huge"
9549-9,1620241107488,3,speaker,"purple"
9549-9,1620241117721,4,speaker,"large"
9549-9,1620241127949,5,speaker,"fruit"
9549-9,1620241146748,6,speaker,"red unwrinkled"
9549-9,1620241155175,7,speaker,"blue"
9549-9,1620241161912,8,speaker,"green"
9549-9,1620241169529,9,speaker,"nemo"
9549-9,1620241180830,10,speaker,"very very old"
9549-9,1620241189314,11,speaker,"tiny"
9549-9,1620241196322,12,speaker,"green"
9549-9,1620241204618,13,speaker,"large"
9549-9,1620241216589,14,speaker,"beard young"
9549-9,1620241231075,15,speaker,"smile young"
9549-9,1620241237901,16,speaker,"green"
9549-9,1620241251309,17,speaker,"small grey"
9549-9,1620241259162,18,speaker,"green"
9549-9,1620241264578,19,speaker,"large"
9549-9,1620241273706,20,speaker,"black gloss"
9549-9,1620241284535,21,speaker,"old big"
9549-9,1620241301267,22,speaker,"closed cardboard"
9549-9,1620241315866,23,speaker,"small"
9549-9,1620241325410,24,speaker,"yellow"
9549-9,1620241335377,25,speaker,"oink"
9549-9,1620241346008,26,speaker,"small"
9549-9,1620241357588,27,speaker,"brown curly"
9549-9,1620241366457,28,speaker,"black large"
9549-9,1620241372528,29,speaker,"purple"
9549-9,1620241379128,30,speaker,"wood"
9549-9,1620241390793,31,speaker,"veggie"
9549-9,1620241402056,32,speaker,"pup"
9549-9,1620241410488,33,speaker,"small round"
9549-9,1620241417350,34,speaker,"green"
9549-9,1620241424038,35,speaker,"yellow"
9549-9,1620241430239,36,speaker,"empty"
9549-9,1620241443993,37,speaker,"beard glasses"
9549-9,1620241450732,38,speaker,"small"
9549-9,1620241456783,39,speaker,"silver"
9549-9,1620241463038,40,speaker,"small"
9549-9,1620241468394,41,speaker,"green"
9549-9,1620241474062,42,speaker,"pink"
9549-9,1620241479142,43,speaker,"small"
9549-9,1620241485301,44,speaker,"small"
9549-9,1620241493678,45,speaker,"large"
9549-9,1620241502055,46,speaker,"small"
9549-9,1620241509750,47,speaker,"moo"
9549-9,1620241516437,48,listener,"Excellent work"
9549-9,1620241520044,48,speaker,"thin distressed"
9549-9,1620241529216,49,speaker,"thanks you too!"
9549-9,1620241530335,49,speaker,"yellow"
9549-9,1620241536139,50,speaker,"green"
9549-9,1620241541317,51,speaker,"blue"
9549-9,1620241546758,52,speaker,"small"
9549-9,1620241551802,53,speaker,"small"
9549-9,1620241557700,54,speaker,"large"
9549-9,1620241565632,55,speaker,"small b&w"
9549-9,1620241574995,56,speaker,"eggs"
9549-9,1620241583708,57,speaker,"green spots"
9549-9,1620241592179,58,speaker,"large"
9549-9,1620241598218,59,speaker,"pink"
9549-9,1620241606300,60,speaker,"large"
