gameid,time,roundNum,sender,contents
7742-e,1620228541678,1,speaker,"apple"
7742-e,1620228551451,1,speaker,"good"
7742-e,1620228581054,2,speaker,"good"
7742-e,1620228591843,2,speaker,"good"
7742-e,1620228595304,2,listener,"hello"
7742-e,1620228601655,2,speaker,"fr"
7742-e,1620228643036,2,listener,"clue please"
7742-e,1620228711896,3,listener,"send a cllue"
7742-e,1620228741100,3,speaker,"strawberry"
7742-e,1620228764079,4,speaker,"fish"
7742-e,1620228777624,5,speaker,"dog"
7742-e,1620228803274,6,speaker,"good"
7742-e,1620228818643,7,speaker,"toobrush"
7742-e,1620228834165,8,speaker,"button"
7742-e,1620228845955,9,speaker,"shoe"
7742-e,1620228857849,10,speaker,"good"
7742-e,1620228869246,11,speaker,"good"
7742-e,1620228885367,12,speaker,"banana"
7742-e,1620228897031,13,speaker,"clock"
7742-e,1620228907377,14,speaker,"ball"
7742-e,1620228919160,15,speaker,"good"
7742-e,1620228931571,16,speaker,"pencil"
7742-e,1620228944091,17,speaker,"banana"
7742-e,1620228994528,18,listener,"hello"
7742-e,1620229091977,19,listener,"hello"
7742-e,1620229124977,20,listener,"h"
7742-e,1620229138558,21,listener,"h"
7742-e,1620229155791,22,listener,"h"
7742-e,1620229164296,23,listener,"h"
7742-e,1620229177259,24,listener,"h"
7742-e,1620229184187,25,listener,"h"
7742-e,1620229194065,26,listener,"h"
7742-e,1620229201266,27,listener,"h"
7742-e,1620229210423,28,listener,"h"
7742-e,1620229217483,29,listener,"h"
