gameid,time,roundNum,sender,contents
2180-1,1620229067703,1,speaker,"tomato"
2180-1,1620229077094,2,speaker,"elephant"
2180-1,1620229083492,3,speaker,"butterfly"
2180-1,1620229090188,4,speaker,"horse"
2180-1,1620229096549,5,speaker,"strawberry"
2180-1,1620229104364,6,speaker,"red bell pepper"
2180-1,1620229113269,7,speaker,"large green button"
2180-1,1620229121867,8,speaker,"blue necktie"
2180-1,1620229130016,9,speaker,"small blue backpack"
2180-1,1620229141365,10,speaker,"large triangle earring"
2180-1,1620229154515,11,speaker,"guitar"
2180-1,1620229162427,12,speaker,"small white cat"
2180-1,1620229171068,13,speaker,"gold lock"
2180-1,1620229180675,14,speaker,"large red paintbrush"
2180-1,1620229191757,15,speaker,"pink lipstick"
2180-1,1620229200812,16,speaker,"white lighter"
2180-1,1620229213255,17,speaker,"young bearded man"
2180-1,1620229244001,18,speaker,"there's no image selected so I don't know"
2180-1,1620229256444,19,speaker,"small golden key"
2180-1,1620229275092,20,speaker,"smiling woman with large chin"
2180-1,1620229284433,21,speaker,"blue socks"
2180-1,1620229300785,22,speaker,"bearded man with hat on"
2180-1,1620229312226,23,speaker,"green scissors"
2180-1,1620229318114,24,speaker,"pig"
2180-1,1620229324384,25,speaker,"chick"
2180-1,1620229334329,26,speaker,"large black pencil"
2180-1,1620229340003,27,speaker,"bowl"
2180-1,1620229349648,28,speaker,"curly blonde hair"
2180-1,1620229362698,29,speaker,"orange tshirt"
2180-1,1620229371968,30,speaker,"small blue car"
2180-1,1620229381095,31,speaker,"large yellow flower"
2180-1,1620229389842,32,speaker,"large purple ball"
2180-1,1620229396816,33,speaker,"large blue chair"
2180-1,1620229404825,34,speaker,"carrot"
2180-1,1620229416968,35,speaker,"purple toothbrush"
2180-1,1620229424959,36,speaker,"yellow sneaker"
2180-1,1620229431612,37,speaker,"fish"
2180-1,1620229437348,38,speaker,"puppy"
2180-1,1620229457818,39,speaker,"large glass bottle"
2180-1,1620229494871,40,speaker,"red non-glossy nail polish"
2180-1,1620229506407,41,speaker,"large green apple"
2180-1,1620229513670,42,speaker,"blue umbrella"
2180-1,1620229528854,43,speaker,"clean wooden spoon"
2180-1,1620229538575,44,speaker,"large blue dress"
2180-1,1620229554734,45,speaker,"ironed red shorts"
2180-1,1620229568079,46,speaker,"smiling young woman"
2180-1,1620229581614,47,speaker,"large purple alarm clock"
2180-1,1620229588502,48,speaker,"blue skirt"
2180-1,1620229595710,49,speaker,"banana"
2180-1,1620229606384,50,speaker,"large metal table"
2180-1,1620229613175,51,speaker,"green pants"
2180-1,1620229619740,52,speaker,"green pot"
2180-1,1620229630539,53,speaker,"large red glasses"
2180-1,1620229640342,54,speaker,"small blue knife"
2180-1,1620229646629,55,speaker,"door"
2180-1,1620229667855,56,speaker,"large colored landscape"
2180-1,1620229676204,57,speaker,"cow"
2180-1,1620229687229,58,speaker,"closed cardboard box"
2180-1,1620229715047,59,speaker,"green frog with stripes"
2180-1,1620229728277,60,speaker,"large green glove"
