gameid,time,roundNum,sender,contents
5235-8,1620229472937,1,speaker,"tomato"
5235-8,1620229479837,2,speaker,"elephant"
5235-8,1620229486498,3,speaker,"butterfly"
5235-8,1620229491996,4,speaker,"horse"
5235-8,1620229498285,5,speaker,"strawberry"
5235-8,1620229507858,6,speaker,"large red backpack"
5235-8,1620229523230,7,speaker,"blue sunglasses large"
5235-8,1620229531307,8,speaker,"bowl"
5235-8,1620229538372,9,speaker,"large black cat"
5235-8,1620229546007,10,speaker,"dog"
5235-8,1620229555125,11,speaker,"pink balloon"
5235-8,1620229565470,12,speaker,"large yellow ball"
5235-8,1620229571523,13,speaker,"carrot"
5235-8,1620229583030,14,speaker,"large triangle earring"
5235-8,1620229592724,15,speaker,"blue socks"
5235-8,1620229601351,16,speaker,"open wooden crate"
5235-8,1620229611187,17,speaker,"small blue brush"
5235-8,1620229621227,18,speaker,"large yellow clock"
5235-8,1620229628741,19,speaker,"silver lock"
5235-8,1620229636445,20,speaker,"small blue button"
5235-8,1620229644206,21,speaker,"green skirt"
5235-8,1620229659820,22,speaker,"shiny red nails"
5235-8,1620229686315,23,speaker,"brown curly hair, not smiling"
5235-8,1620229698196,24,speaker,"fish"
5235-8,1620229707576,25,speaker,"straight blonde hair"
5235-8,1620229723868,26,speaker,"wrinkled green shorts"
5235-8,1620229731772,27,speaker,"pig"
5235-8,1620229759475,27,speaker,"pig"
5235-8,1620229787913,28,speaker,"dirty wood spoon"
5235-8,1620229825951,28,speaker,"dark brown spoon head"
5235-8,1620229834335,29,speaker,"small black and white painting"
5235-8,1620229846021,30,speaker,"small orange glove"
5235-8,1620229856105,31,speaker,"red lipstick"
5235-8,1620229862229,32,speaker,"blue tie"
5235-8,1620229874532,33,speaker,"concerned thin woman"
5235-8,1620229885812,34,speaker,"pink pants"
5235-8,1620229900755,35,speaker,"bald old man. Clean shaven"
5235-8,1620229910746,36,speaker,"Large blue knife"
5235-8,1620229919218,37,speaker,"small blue car"
5235-8,1620229930201,38,speaker,"tall wooden table"
5235-8,1620229937289,39,speaker,"cow"
5235-8,1620229950972,40,speaker,"green striped frog"
5235-8,1620229974645,41,speaker,"full beard. Glasses~~~ No hat"
5235-8,1620229996723,42,speaker,"green scissors"
5235-8,1620230004380,43,speaker,"small blue dress"
5235-8,1620230016004,44,speaker,"purple toothbrush"
5235-8,1620230023365,45,speaker,"door"
5235-8,1620230028786,46,speaker,"guitar"
5235-8,1620230034919,47,speaker,"small blue chair"
5235-8,1620230045047,48,speaker,"chick"
5235-8,1620230053649,49,speaker,"large gold key"
5235-8,1620230061206,50,speaker,"blue pot"
5235-8,1620230068334,51,speaker,"blue umbrella"
5235-8,1620230074447,52,speaker,"white lighter"
5235-8,1620230079590,53,speaker,"banana"
5235-8,1620230085555,54,speaker,"orange shirt"
5235-8,1620230092832,55,speaker,"small green apple"
5235-8,1620230099202,56,speaker,"green pepper"
5235-8,1620230106664,57,speaker,"small black pencil"
5235-8,1620230119160,58,speaker,"yellow shoe"
5235-8,1620230127775,59,speaker,"Small glass bottle"
5235-8,1620230138915,60,speaker,"big yellow flower"
