gameid,time,roundNum,sender,contents
9279-7,1620230216591,1,listener,"hi"
9279-7,1620230221288,1,speaker,"hello"
9279-7,1620230228822,1,speaker,"the target is red"
9279-7,1620230242211,2,listener,"time is low pls  spped"
9279-7,1620230244806,2,speaker,"the target is an animal"
9279-7,1620230253136,3,speaker,"the target flies"
9279-7,1620230266137,4,speaker,"the target is ridden by cowboys"
9279-7,1620230274680,5,speaker,"the target is fruit"
9279-7,1620230285662,6,speaker,"the target provides milk"
9279-7,1620230292891,7,speaker,"the target is bacon"
9279-7,1620230304164,8,speaker,"the target is curly and brown"
9279-7,1620230313749,9,speaker,"the target is landscape and color"
9279-7,1620230329684,10,speaker,"the target is big and plastic"
9279-7,1620230336085,11,speaker,"the target is small and red"
9279-7,1620230345470,12,speaker,"the target is the biggest"
9279-7,1620230351820,13,speaker,"the target is green"
9279-7,1620230356091,14,speaker,"the target is silver"
9279-7,1620230360887,15,speaker,"the target is red"
9279-7,1620230366380,16,speaker,"orange"
9279-7,1620230372216,17,speaker,"green with dors"
9279-7,1620230373750,17,speaker,"dots"
9279-7,1620230377679,18,speaker,"green"
9279-7,1620230382884,19,speaker,"orange"
9279-7,1620230387416,20,speaker,"pink"
9279-7,1620230395235,21,speaker,"smallest"
9279-7,1620230404576,22,speaker,"black and matte"
9279-7,1620230415608,23,speaker,"brown and looking left"
9279-7,1620230422442,24,speaker,"red"
9279-7,1620230427614,25,speaker,"door"
9279-7,1620230433110,26,speaker,"biggest"
9279-7,1620230437900,27,speaker,"dog"
9279-7,1620230443999,28,speaker,"biggest chair"
9279-7,1620230449181,29,speaker,"biggest key"
9279-7,1620230458046,30,speaker,"musical"
9279-7,1620230462734,31,speaker,"orange"
9279-7,1620230470375,32,speaker,"lid closed crate"
9279-7,1620230479347,33,speaker,"baby duck"
9279-7,1620230484621,34,speaker,"blue"
9279-7,1620230489202,35,speaker,"black"
9279-7,1620230494001,36,speaker,"pink"
9279-7,1620230504398,38,speaker,"triangle thats big"
9279-7,1620230513773,39,speaker,"old and smiley"
9279-7,1620230521152,40,speaker,"cup"
9279-7,1620230526806,41,speaker,"smallest"
9279-7,1620230535836,42,speaker,"rotted wood"
9279-7,1620230542311,43,speaker,"green"
9279-7,1620230547283,44,speaker,"biggest"
9279-7,1620230555709,45,speaker,"small pressed green"
9279-7,1620230561882,46,speaker,"blank"
9279-7,1620230568629,47,speaker,"biggest"
9279-7,1620230574832,48,speaker,"biggest"
9279-7,1620230580057,49,speaker,"smallest"
9279-7,1620230588450,50,speaker,"tallest wood"
9279-7,1620230592585,51,speaker,"biggest"
9279-7,1620230604731,52,speaker,"second fattest"
9279-7,1620230611298,53,speaker,"fruit"
9279-7,1620230616159,54,speaker,"biggest"
9279-7,1620230621152,55,speaker,"blue"
9279-7,1620230626107,56,speaker,"smallest"
9279-7,1620230631810,57,speaker,"swims"
9279-7,1620230642805,58,speaker,"no hat, beard only"
9279-7,1620230650269,59,speaker,"smallest"
9279-7,1620230660119,60,speaker,"smallest green"
9279-7,1620230660609,60,listener,"thanks"
