gameid,time,roundNum,sender,contents
2334-6,1620231149146,1,speaker,"tomato"
2334-6,1620231165779,2,speaker,"elephant"
2334-6,1620231178349,3,speaker,"butterfly"
2334-6,1620231189597,4,speaker,"horse"
2334-6,1620231200666,5,speaker,"strawberry"
2334-6,1620231223630,6,speaker,"first from left"
2334-6,1620231232501,7,speaker,"pig"
2334-6,1620231247023,8,speaker,"green"
2334-6,1620231257402,9,speaker,"big"
2334-6,1620231270716,10,speaker,"big glass"
2334-6,1620231287010,11,speaker,"big green"
2334-6,1620231303291,12,speaker,"carrot"
2334-6,1620231321577,13,speaker,"wooden closed"
2334-6,1620231335699,14,speaker,"cup"
2334-6,1620231345372,15,speaker,"big"
2334-6,1620231355611,15,listener,"color"
2334-6,1620231368903,15,speaker,"yellow"
2334-6,1620231380148,16,speaker,"blue"
