gameid,time,roundNum,sender,contents
6611-1,1620231768234,1,speaker,"red"
6611-1,1620231777202,2,speaker,"trunk"
6611-1,1620231784277,3,speaker,"wings"
6611-1,1620231794430,4,speaker,"saddle"
6611-1,1620231801452,5,speaker,"seeds"
6611-1,1620231830756,6,speaker,"purple.~~~~~~ umm"
6611-1,1620231835597,6,listener,"big?"
6611-1,1620231841174,6,speaker,"big!!"
6611-1,1620231855721,7,speaker,"glass. BIG"
6611-1,1620231865887,7,listener,"smooth or bumpy?"
6611-1,1620231870578,7,speaker,"smooth"
6611-1,1620231878559,8,speaker,"Big blue"
6611-1,1620231885148,9,speaker,"yellow"
6611-1,1620231891392,10,speaker,"small red"
6611-1,1620231898086,11,speaker,"big purple"
6611-1,1620231904452,12,speaker,"tiny"
6611-1,1620231925635,13,speaker,"semi dirty, clean handle"
6611-1,1620231942494,14,speaker,"big, black"
