gameid,time,roundNum,sender,contents
0193-e,1620230883162,1,speaker,"apple"
0193-e,1620230900664,2,speaker,"elepant"
0193-e,1620230910399,3,speaker,"dog"
0193-e,1620230924389,4,speaker,"fish"
0193-e,1620230933148,5,speaker,"cat"
0193-e,1620230946854,6,speaker,"bule"
0193-e,1620230973262,7,speaker,"3"
0193-e,1620230991443,8,speaker,"22"
0193-e,1620231001898,9,speaker,"2"
0193-e,1620231035795,10,speaker,"2"
0193-e,1620231044593,11,speaker,"1"
0193-e,1620231064954,12,speaker,"3"
0193-e,1620231079224,13,speaker,"2"
0193-e,1620231091861,14,speaker,"2"
0193-e,1620231101428,15,speaker,"cow"
0193-e,1620231113784,16,speaker,"elepant"
0193-e,1620231129721,17,speaker,"elepant"
0193-e,1620231142676,18,speaker,"2"
0193-e,1620231166488,19,speaker,"open box"
0193-e,1620231181820,20,speaker,"2"
0193-e,1620231197422,21,speaker,"2 object"
0193-e,1620231210006,22,speaker,"3 object"
0193-e,1620231224668,23,speaker,"3object"
0193-e,1620231239095,24,speaker,"2object"
0193-e,1620231248552,25,speaker,"4 object"
0193-e,1620231256146,26,speaker,"2 object"
0193-e,1620231266515,27,speaker,"3 object"
0193-e,1620231275012,28,speaker,"3 object"
0193-e,1620231297516,29,speaker,"2 object"
0193-e,1620231307336,31,speaker,"3 object"
0193-e,1620231320333,32,speaker,"3object"
0193-e,1620231329519,33,speaker,"3 object"
0193-e,1620231337612,34,speaker,"3object"
0193-e,1620231346575,35,speaker,"4 object"
0193-e,1620231356000,36,speaker,"2 object"
0193-e,1620231366741,37,speaker,"3 object"
