workerid,object,slide_number_in_experiment,utterance,rt,response,Answer.time_in_minutes
0,Linda,1,bot_check,0,Linda,3.3139833333333333
0,bottle_plastic_green,3,bottle,9094,"[0.78, 0.61]",3.3139833333333333
0,chair_metal_purple,4,chair,9679,"[0.78, 0.26]",3.3139833333333333
0,spoon_metal_green,5,spoon,8295,"[0.3, 0.1]",3.3139833333333333
0,table_wood_blue,6,table,3656,"[0.8, 0.27]",3.3139833333333333
0,box_cardboard_green,7,box,5424,"[0.76, 0.39]",3.3139833333333333
0,jacket_leather_purple,8,jacket,7426,"[0.95, 0.98]",3.3139833333333333
0,chair_plastic_original,9,chair,4303,"[0.82, 0.9]",3.3139833333333333
0,pitcher_plastic_green,10,pitcher,4377,"[0.61, 0.47]",3.3139833333333333
0,spoon_plastic_blue,11,spoon,4478,"[0.67, 0.4]",3.3139833333333333
0,bottle_glass_original,12,bottle,3975,"[0.88, 0.91]",3.3139833333333333
0,plate_plastic_pink,13,plate,4879,"[0.81, 0.37]",3.3139833333333333
0,chair_wood_green,14,chair,4993,"[0.71, 0.34]",3.3139833333333333
0,bowl_glass_blue,15,bowl,5356,"[0.97, 0.93]",3.3139833333333333
0,spoon_wood_original,16,spoon,5835,"[0.76, 0.82]",3.3139833333333333
0,jacket_denim_green,17,jacket,8632,"[0.81, 0.78]",3.3139833333333333
0,plate_paper_blue,18,plate,6967,"[0.7, 0.36]",3.3139833333333333
0,cup_metal_original,19,cup,3367,"[0.71, 0.79]",3.3139833333333333
0,pitcher_metal_original,20,pitcher,4434,"[0.88, 0.92]",3.3139833333333333
0,box_wood_blue,21,box,5607,"[0.63, 0.38]",3.3139833333333333
0,bag_plastic_green,22,bag,20982,"[0.47, 0.17]",3.3139833333333333
0,table_metal_green,23,table,4632,"[0.4, 0.26]",3.3139833333333333
0,boot_rubber_original,24,boot,5872,"[0.6, 0.34]",3.3139833333333333
0,bowl_metal_original,25,bowl,9599,"[0.76, 0.5]",3.3139833333333333
0,boot_leather_green,26,boot,10432,"[0.3, 0.21]",3.3139833333333333
0,cup_plastic_blue,27,cup,3634,"[0.65, 0.33]",3.3139833333333333
