object,rt,utterance,response,workerid,Answer.time_in_minutes,slide_number_in_experiment
Elizabeth,0,bot_check,Elizabeth,0,1.6238,1
pitcher_glass_blue,3413,pitcher,[0.75],0,1.6238,3
spoon_plastic_blue,2760,spoon,[0.64],0,1.6238,4
cup_plastic_blue,4680,cup,[0.8],0,1.6238,5
box_cardboard_green,2401,box,[0.3],0,1.6238,6
pitcher_plastic_green,2135,pitcher,[0.81],0,1.6238,7
boot_rubber_original,3440,boot,[0.84],0,1.6238,8
plate_plastic_pink,2272,plate,[0.49],0,1.6238,9
chair_wood_green,2527,chair,[0.19],0,1.6238,10
spoon_wood_original,2920,spoon,[0.92],0,1.6238,11
bag_plastic_green,2889,bag,[0.38],0,1.6238,12
plate_paper_blue,2671,plate,[0.45],0,1.6238,13
jacket_leather_purple,2400,jacket,[0.25],0,1.6238,14
table_metal_green,7608,table,[0.37],0,1.6238,15
bottle_glass_original,3224,bottle,[0.9],0,1.6238,16
chair_metal_purple,2968,chair,[0.2],0,1.6238,17
bottle_plastic_green,2616,bottle,[0.86],0,1.6238,18
cup_metal_original,2190,cup,[0.51],0,1.6238,19
table_wood_blue,4199,table,[0.19],0,1.6238,20
bowl_metal_original,2424,bowl,[0.96],0,1.6238,21
chair_plastic_original,2696,chair,[0.47],0,1.6238,22
jacket_denim_green,2919,jacket,[0.25],0,1.6238,23
box_wood_blue,1833,box,[0.09],0,1.6238,24
pitcher_metal_original,2422,pitcher,[0.48],0,1.6238,25
bowl_glass_blue,2384,bowl,[0.53],0,1.6238,26
spoon_metal_green,2287,spoon,[0.1],0,1.6238,27
bag_paper_original,2144,bag,[1],0,1.6238,28
boot_leather_green,2584,boot,[0.02],0,1.6238,29
Jessica,0,bot_check,Jessica,1,7.248083333333334,1
bag_paper_original,3265,bag,[0.66],1,7.248083333333334,3
table_wood_blue,2817,table,[0.8],1,7.248083333333334,4
jacket_leather_purple,2390,jacket,[0.22],1,7.248083333333334,5
plate_paper_blue,3121,plate,[0.93],1,7.248083333333334,6
bowl_glass_blue,2577,bowl,[0.89],1,7.248083333333334,7
cup_metal_original,3601,cup,[0.41],1,7.248083333333334,8
pitcher_plastic_green,2214,pitcher,[0.72],1,7.248083333333334,9
table_metal_green,2364,table,[0.83],1,7.248083333333334,10
chair_plastic_original,3166,chair,[0.93],1,7.248083333333334,11
jacket_denim_green,2825,jacket,[0.73],1,7.248083333333334,12
bowl_metal_original,2817,bowl,[0.84],1,7.248083333333334,13
box_wood_blue,2584,box,[0.73],1,7.248083333333334,14
spoon_metal_green,2235,spoon,[1],1,7.248083333333334,15
bag_plastic_green,4004,bag,[0.9],1,7.248083333333334,16
box_cardboard_green,3401,box,[0.86],1,7.248083333333334,17
bottle_glass_original,4033,bottle,[0.83],1,7.248083333333334,18
chair_metal_purple,2430,chair,[0.88],1,7.248083333333334,19
plate_plastic_pink,9336,plate,[0.81],1,7.248083333333334,20
bottle_plastic_green,20123,bottle,[0.35],1,7.248083333333334,21
boot_leather_green,2841,boot,[0.79],1,7.248083333333334,22
pitcher_glass_blue,2861,pitcher,[0.89],1,7.248083333333334,23
spoon_wood_original,2170,spoon,[0.74],1,7.248083333333334,24
cup_plastic_blue,3481,cup,[0.93],1,7.248083333333334,25
boot_rubber_original,4835,boot,[0.77],1,7.248083333333334,26
spoon_plastic_blue,5093,spoon,[0.82],1,7.248083333333334,27
pitcher_metal_original,2531,pitcher,[0.73],1,7.248083333333334,28
chair_wood_green,5085,chair,[0.86],1,7.248083333333334,29
