slide_number_in_experiment,rt,object,Answer.time_in_minutes,workerid,utterance,response
1,0,Sarah,1.42905,0,bot_check,Sarah
3,4061,table_wood_green,1.42905,0,table,[1]
4,2080,chair_metal_green,1.42905,0,chair,[1]
5,3624,pitcher_plastic_original,1.42905,0,pitcher,[1]
6,2136,chair_plastic_purple,1.42905,0,chair,[1]
7,3703,box_wood_green,1.42905,0,box,[0.52]
8,2416,boot_rubber_green,1.42905,0,boot,[0.55]
9,2376,jacket_leather_green,1.42905,0,jacket,[0.5]
10,2455,jacket_denim_original,1.42905,0,jacket,[0.64]
11,2345,bottle_plastic_original,1.42905,0,bottle,[0.84]
12,1967,spoon_plastic_green,1.42905,0,spoon,[1]
13,2858,pitcher_glass_green,1.42905,0,pitcher,[0.63]
14,1775,ball_plastic_green,1.42905,0,ball,[0.52]
15,2784,bag_paper_blue,1.42905,0,bag,[0.83]
16,5144,spoon_wood_blue,1.42905,0,spoon,[0.52]
17,1720,boot_leather_original,1.42905,0,boot,[1]
18,1816,spoon_metal_original,1.42905,0,spoon,[1]
19,3168,cup_metal_blue,1.42905,0,cup,[0.52]
20,1808,plate_paper_green,1.42905,0,plate,[1]
21,1879,bag_plastic_original,1.42905,0,bag,[1]
22,2464,box_cardboard_original,1.42905,0,box,[1]
23,2696,pitcher_metal_blue,1.42905,0,pitcher,[0.6]
24,1992,bowl_glass_green,1.42905,0,bowl,[1]
25,2144,chair_wood_original,1.42905,0,chair,[1]
26,1776,bowl_metal_blue,1.42905,0,bowl,[1]
27,2088,bottle_glass_blue,1.42905,0,bottle,[0.9]
28,1551,ball_rubber_blue,1.42905,0,ball,[0.56]
29,1768,table_metal_original,1.42905,0,table,[0.84]
30,1616,plate_plastic_green,1.42905,0,plate,[1]
31,1512,cup_plastic_original,1.42905,0,cup,[1]
1,0,Linda,4.653316666666667,1,bot_check,Linda
3,8905,bowl_metal_blue,4.653316666666667,1,bowl,[0.86]
4,4694,spoon_metal_original,4.653316666666667,1,spoon,[0.94]
5,5608,jacket_leather_green,4.653316666666667,1,jacket,[0.44]
6,6065,chair_plastic_purple,4.653316666666667,1,chair,[0.63]
7,3551,bottle_glass_blue,4.653316666666667,1,bottle,[0.59]
8,2928,bowl_glass_green,4.653316666666667,1,bowl,[0.87]
9,3809,pitcher_metal_blue,4.653316666666667,1,pitcher,[0.71]
10,2271,pitcher_glass_green,4.653316666666667,1,pitcher,[0.71]
11,5112,plate_paper_green,4.653316666666667,1,plate,[0.77]
12,6248,table_wood_green,4.653316666666667,1,table,[0.41]
13,3201,chair_wood_original,4.653316666666667,1,chair,[0.9]
14,5120,box_wood_green,4.653316666666667,1,box,[0.55]
15,2630,cup_metal_blue,4.653316666666667,1,cup,[0.68]
16,2606,plate_plastic_green,4.653316666666667,1,plate,[0.64]
17,3840,pitcher_plastic_original,4.653316666666667,1,pitcher,[0.88]
18,2928,ball_plastic_green,4.653316666666667,1,ball,[0.79]
19,3424,bag_paper_blue,4.653316666666667,1,bag,[0.79]
20,3312,bottle_plastic_original,4.653316666666667,1,bottle,[0.79]
21,3424,boot_rubber_green,4.653316666666667,1,boot,[0.43]
22,8336,ball_rubber_blue,4.653316666666667,1,ball,[0.77]
23,33206,table_metal_original,4.653316666666667,1,table,[0.73]
24,4158,chair_metal_green,4.653316666666667,1,chair,[0.51]
25,2495,cup_plastic_original,4.653316666666667,1,cup,[0.74]
26,3257,box_cardboard_original,4.653316666666667,1,box,[0.87]
27,4119,jacket_denim_original,4.653316666666667,1,jacket,[0.84]
28,2433,spoon_plastic_green,4.653316666666667,1,spoon,[0.71]
29,2752,bag_plastic_original,4.653316666666667,1,bag,[0.79]
